#Organico,Funcional,Economico,Concepto,Credito Inicial,Credito Definitivo,Obligado
0110,9121,11000,Retribuciones personal eventual gabinete,1053630.0,1053630.0,1231095.84
0110,9121,12000,Retribuciones básicas de personal funcionario,83342.0,83342.0,42268.19
0110,9121,12100,Retribuciones complementarias personal funcionario,138907.0,138907.0,60207.2
0110,9121,16000,Seguridad social a cargo del ayuntamiento,336817.0,336817.0,361506.77
0110,9121,16500,Cuotas Elkarkidetza a cargo ayuntamiento,341.0,341.0,4958.39
0110,9123,11000,Retribuciones personal eventual gabinete,179492.0,179492.0,24323.1
0110,9123,16000,Seguridad social a cargo del ayuntamiento,42596.0,42596.0,33693.46
0110,9123,16500,Cuotas Elkarkidetza a cargo ayuntamiento,72.0,72.0,4854.56
0110,9123,22699,Otros gastos diversos,6000.0,6000.0,1624.45
0125,9124,12000,Retribuciones básicas de personal funcionario,81342.0,81342.0,85491.08
0125,9124,12100,Retribuciones complementarias personal funcionario,119084.0,119084.0,119696.34
0125,9124,14100,Otros personal,59498.0,59498.0,111577.32
0125,9124,16000,Seguridad social a cargo del ayuntamiento,68509.0,68509.0,87123.32
0125,9124,16500,Cuotas Elkarkidetza a cargo ayuntamiento,166.0,166.0,5883.95
0126,9124,12000,Retribuciones básicas de personal funcionario,57909.0,57909.0,27936.6
0126,9124,12100,Retribuciones complementarias personal funcionario,99761.0,99761.0,55761.9
0126,9124,14100,Otros personal,3856.0,3856.0,0.0
0126,9124,16000,Seguridad social a cargo del ayuntamiento,39618.0,39618.0,26078.0
0126,9124,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2224.0,2224.0,3894.72
0130,9201,12000,Retribuciones básicas de personal funcionario,210451.0,210451.0,195648.85
0130,9201,12100,Retribuciones complementarias personal funcionario,320842.0,320842.0,277134.14
0130,9201,16000,Seguridad social a cargo del ayuntamiento,103004.0,103004.0,94274.16
0130,9201,16500,Cuotas Elkarkidetza a cargo ayuntamiento,6198.0,6198.0,20299.62
0130,9201,22610,Indemnizaciones,45000.0,8239494.36,8215707.97
0130,9201,22611,Indemnizaciones educación-sentencia ayto Ribera Baja,5737.45,0.0,0.0
0130,9201,22617,"Honorarios, minutas",80000.0,168600.0,155347.52
0145,9121,12000,Retribuciones básicas de personal funcionario,23997.0,23997.0,0.0
0145,9121,12100,Retribuciones complementarias personal funcionario,53697.0,53697.0,0.0
0145,9121,16000,Seguridad social a cargo del ayuntamiento,12352.0,12352.0,0.0
015501,3322,12000,Retribuciones básicas de personal funcionario,157167.0,157167.0,188517.58
015501,3322,12100,Retribuciones complementarias personal funcionario,176005.0,176005.0,196622.28
015501,3322,14100,Otros personal,43058.0,43058.0,81765.61
015501,3322,16000,Seguridad social a cargo del ayuntamiento,97776.0,97776.0,135322.37
015501,3322,16500,Cuotas Elkarkidetza a cargo ayuntamiento,152.0,152.0,4747.12
015501,3322,22699,Gastos materiales conservación archivo,6800.0,6800.0,6731.05
015501,3322,22752,Contratos archivo municipal,43000.0,120000.0,119996.58
015502,3391,12000,Retribuciones básicas de personal funcionario,187395.0,187395.0,192052.61
015502,3391,12100,Retribuciones complementarias personal funcionario,252649.0,252649.0,247684.92
015502,3391,14100,Otros personal,173758.0,173758.0,223638.45
015502,3391,16000,Seguridad social a cargo del ayuntamiento,169594.0,169594.0,182471.49
015502,3391,16500,Cuotas Elkarkidetza a cargo ayuntamiento,620.0,620.0,13340.84
015502,3391,22624,Gastos programación Academia folklore,28000.0,30000.0,29936.83
015502,3391,22625,Colonias musicales Academia folklore,60000.0,60000.0,59993.02
015502,3391,22757,Empresas de servicios Academia folklore,21582.0,21582.0,21552.27
015503,3301,20103,Alquileres,45000.0,45000.0,43592.69
015503,3341,22605,Dinamización espacios expositivos,34300.0,35375.29,35635.06
015503,3341,22635,Azkena rock festival,270000.0,280000.0,280000.0
015503,3341,22652,Otras actividades culturales,64000.0,64000.0,63921.55
015503,3341,22653,Difusión cultural,18000.0,25000.0,25155.0
015503,3341,22654,Estrategia cultural,3000.0,0.0,0.0
015503,3341,22733,Programas culturales espacios públicos,139800.0,145000.0,144925.95
015503,3341,22756,Servicios actividad cultural,159031.0,155000.0,151341.2
015503,3381,12000,Retribuciones básicas de personal funcionario,111014.0,111014.0,141660.03
015503,3381,12100,Retribuciones complementarias personal funcionario,143168.0,143168.0,174464.11
015503,3381,14100,Otros personal,76443.0,76443.0,42973.31
015503,3381,16000,Seguridad social a cargo del ayuntamiento,85803.0,85803.0,89219.9
015503,3381,16500,Cuotas Elkarkidetza a cargo ayuntamiento,228.0,228.0,7626.95
015503,3381,22643,"Reparación gigantes, tribunas y nacimiento",12000.0,17000.0,17032.05
015503,3381,22660,Carnaval,19500.0,23500.0,23825.86
015503,3381,22661,Fiestas Virgen Blanca,695787.0,678000.0,678648.83
015503,3381,22662,Olarizu,3000.0,6000.0,7384.2
015503,3381,22663,Campaña de navidad y reyes,180000.0,180000.0,176972.11
015503,3381,22664,Fiestas de San Antón y Santa Águeda,12600.0,7400.0,7261.42
015504,3332,12000,Retribuciones básicas de personal funcionario,71820.0,71820.0,69512.97
015504,3332,12100,Retribuciones complementarias personal funcionario,117133.0,117133.0,87716.04
015504,3332,14100,Otros personal,113423.0,113423.0,3999.34
015504,3332,16000,Seguridad social a cargo del ayuntamiento,72911.0,72911.0,37527.92
015504,3332,16500,Cuotas Elkarkidetza a cargo ayuntamiento,152.0,152.0,4153.73
015504,3332,22622,Centro cultural Montehermoso,15000.0,21651.75,21409.11
015504,3332,22751,Contratos servicios Montehermoso,25000.0,25000.0,24956.24
015507,2371,12000,Retribuciones básicas de personal funcionario,120550.0,120550.0,126488.6
015507,2371,12100,Retribuciones complementarias personal funcionario,157973.0,157973.0,156275.15
015507,2371,14100,Otros personal,161876.0,161876.0,130904.47
015507,2371,16000,Seguridad social a cargo del ayuntamiento,111264.0,111264.0,106410.25
