#Económico,Denominacion Aplicacion Ingresos,Crédito Inicial,C.DEFINITVO,DRN NETOS
11201,Impuesto B. Inmuebles naturaleza rústica,288965.0,288965.0,289462.39
11202,Impuesto B. inmuebles naturaleza urbana,44650000.0,44650000.0,43465694.11
11203,Inmuebles características especiales,0.0,0.0,470774.03
11301,Impuesto sobre Vehículos Tracción Mecánica,16725000.0,16725000.0,16553481.26
11401,Impuesto sobre incremento valor terrenos,12905000.0,12905000.0,8071343.27
13001,Impuesto sobre actividades económicas,14700000.0,14700000.0,14247910.88
13002,Participación en cuotas provinciales y estatales,1450000.0,1450000.0,0.0
28201,Impuestos sobre construcciones e instalaciones,6550000.0,6550000.0,6120690.56
28301,Aprovechamiento del coto de caza,2110.0,2110.0,2111.0
30001,Venta de efectos no utilizables,40000.0,40000.0,37311.4
30002,Venta de publicaciones e impresos,1000.0,1000.0,1355.84
30004,Venta de bienes y efectos en Montehermoso,5000.0,5000.0,1057.4
30006,Venta de energía eléctrica,3000.0,3000.0,4753.95
30007,Venta bienes oficina de turismo,25000.0,25000.0,31015.23
31001,Recogida y eliminación de basuras,10900000.0,10900000.0,10610367.32
31003,Servicios funerarios,600000.0,600000.0,519540.17
31004,"Expedición de informes, atestados, fotocopias, planos y similares",280000.0,280000.0,120907.21
31005,Retirada de vehículos de la vía pública,306000.0,306000.0,322633.47
31008,Servicio de prevención y extinción de incendios,6000.0,6000.0,2087.48
31013,Vertido de residuos en vertedero de Gardelegi,4000000.0,4000000.0,3956918.63
31020,Evacuación de consultas urbanísticas,15000.0,15000.0,6637.36
31021,Vertido de aguas residuales no domésticas,327510.0,327510.0,184691.08
31022,Duplicado TMC,10200.0,10200.0,10940.0
31026,Prestación servicios DEMSAC,255000.0,255000.0,98923.15
31027,Tasas de exámenes,7000.0,7000.0,25780.2
31028,Planta biocompost,750000.0,750000.0,0.0
31029,Recogida selectiva de envases y residuos,1706000.0,1706000.0,1039122.33
31101,Licencias de apertura de establecimientos,300000.0,300000.0,227329.29
31105,Tasa examen acreditación licencia autotaxi,0.0,0.0,109.98
31201,Otorgamiento de licencias urbanísticas,300000.0,300000.0,230496.28
32001,OTA - Estacionamiento de vehículos en vías publicas,1900000.0,1900000.0,1015899.12
32005,Cesiones de terrenos cementerio El Salvador,195000.0,195000.0,120284.02
32102,Quioscos en vía pública,2500.0,2500.0,1937.79
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",0.0,0.0,405353.82
32104,Veladores en vía pública,325000.0,325000.0,331363.05
32105,Instalaciones en vía pública,650000.0,650000.0,466030.79
32107,Apertura de calicatas y zanjas,500000.0,500000.0,11709.28
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",4950000.0,4950000.0,68717.73
32110,Ocupación del suelo empresas explotadoras servicios y suministro,0.0,0.0,2899493.07
32111,"Utilización del Palacio de Congresos, Principal, Plaza de toros...",150000.0,150000.0,0.0
32112,Utilización de salas en centros cívicos,30000.0,30000.0,203074.69
32113,Uso salas en Centro Empresas Jundiz,10000.0,10000.0,11173.82
32114,Uso espacios en CSCM,1000.0,1000.0,368.83
32201,Entrada de vehículos por las aceras y reservas de la vía pública para aparcamiento,1550000.0,1550000.0,1454091.11
34000,Prestación de servicios SSAA municipales,700000.0,700000.0,0.0
34001,Talleres DEMSAC,30000.0,30000.0,18583.25
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",650000.0,650000.0,344919.1
34004,Asistencia a domicilio 3ª edad,660000.0,660000.0,586449.41
34005,Estancias residencias 3ª edad,4400000.0,4400000.0,2527179.64
34006,Talleres de intervención social,70000.0,70000.0,8473.98
34007,Formación ocupacional,50000.0,50000.0,23321.15
34008,Abono instalaciones Mendizorrotza,5990000.0,5990000.0,6321718.73
34009,Abonos temporales y de temporada (Gamarra),159000.0,159000.0,105609.07
34010,Utilización instalaciones deportivas (reserva y venta),1219000.0,1219000.0,553810.78
34012,Matriculas en la Academia Municipal de Folklore,146000.0,146000.0,59022.73
34013,Cursos y talleres de cultura,300000.0,300000.0,267430.99
34014,Taquillas teatro,350000.0,568071.47,455976.12
34015,Prestación de servicios de ludotecas,6560.0,6560.0,6780.55
34016,Prestamos de material audiovisual e iluminación de juventud,8000.0,8000.0,4798.47
34018,Talleres de presidencia,285000.0,285000.0,241130.58
34020,Abonados a campañas deportivas,1325000.0,1325000.0,814527.91
34023,Estancia en el C.A.M.A.S.,40000.0,40000.0,41446.45
34025,Comidas centro socioculturales de mayores,488750.0,488750.0,300034.98
34026,Liquidación estancias en residencias 3ª edad,61200.0,61200.0,94082.27
34029,Cursos y actividades formativas función pública,0.0,0.0,1593.06
34032,Venta de entradas presidencia,0.0,0.0,4344.41
34038,Servicio de bodas,30000.0,30000.0,18015.47
34039,Compensación gastos de gestión,1000000.0,1000000.0,0.0
34040,Ingresos nueva estación de autobuses,640000.0,640000.0,365125.57
36100,Extinción incendios - Cuota Unespa y Cías. no conveniadas,948975.0,948975.0,0.0
38001,Reintegro por pagos indebidos,700000.0,700000.0,622971.64
38002,Reintegros gastos por publicaciones en anuncios,50000.0,50000.0,34124.87
38003,Reintegro de gastos o indemnizaciones de Cías. Aseguradoras,1.0,99267.33,171152.32
38004,Reintegros por costas de la vía de apremio,8000.0,8000.0,3637.87
38005,Reintegro indemnizaciones vía judicial,15000.0,15000.0,0.0
38007,Reintegro servicio prev. riesgos laborales,71035.0,71035.0,14223.49
38008,Reintegro explotaciones de servicios,0.0,0.0,91639.04
39101,Multas por infracciones de trafico,5480000.0,5480000.0,4920173.44
39102,Ingresos por procedimientos sancionadores,805420.0,805420.0,872929.32
39201,Recargos de apremio,950000.0,950000.0,664440.09
39401,Daños en vía pública por accidentes de vehiculos,100000.0,100000.0,71958.78
39402,Daños en bienes mpales. por actos vandálicos,7500.0,7500.0,1444.49
39403,Actuaciones del SEIS por limpieza de calzadas por accidente,0.0,0.0,318.64
39404,Ingresos ejecuciones subsidiarias,90000.0,90000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,25000.0,2784.37
39601,Ingresos  empresas de telefonía,1000000.0,1000000.0,574732.67
39901,Donativos,2000.0,2000.0,0.0
39902,Otros ingresos diversos,50000.0,50000.0,19618.58
39903,Intereses demora ejercicios anteriores,4000.0,4000.0,-5311.92
39906,Donativos Belén de la Florida,1.0,15405.33,15404.34
39907,Ingresos rifa San Antón,1.0,1.0,13528.6
39909,Participación ingresos aparcamientos,40000.0,40000.0,2094.24
40000,De la Administración General,465425.0,465425.0,22079.71
41000,Del Gobierno Vasco,12912583.0,12912583.0,4443559.95
42000,De la Diputación Foral de Álava,8926839.11,8953134.05,7911857.57
42001,FOFEL,162168391.33,162168391.33,121790718.98
42003,Impuestos no concertados,300000.0,300000.0,143496.18
43000,Entes públicos dentro término municipal,12000.0,12000.0,0.0
48000,De familias,125000.0,165000.0,80000.0
49000,De entes de la Unión Europea,99700.0,259700.0,326093.85
52500,Intereses en cajas y bancos ayuntamiento,5000.0,5000.0,1360.52
54001,Rentas arrendamientos fincas urbanas ayto,150000.0,150000.0,71003.22
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,91547.03
54004,Expl. serv. hostelería en inmuebles municipales,0.0,0.0,22065.1
54101,Arrendamiento de terrenos rústicos,1.0,1.0,1428.62
55000,Productos de concesiones,800000.0,800000.0,488120.87
55004,Cesión de uso plazas aparcamiento,0.0,0.0,29824.26
55005,Concesión explotación publicidad mobiliario urbano,150000.0,150000.0,0.0
59002,Utilización de terrenos,40000.0,40000.0,38914.96
60300,Venta de terrenos PMS (incluidos honorarios de proy básicos),1277231.3,1277231.3,0.0
61200,De edificios y otras construcciones,1767000.0,1767000.0,0.0
71000,Del Gobierno Vasco,5560000.0,33412500.0,209715.15
72000,De la Diputación Foral de Álava,2500000.0,9998750.0,2891373.6
73000,Entes públicos dentro término municipal,0.0,0.0,35110.4
77000,Empresas privadas,0.0,0.0,1871.0
79000,Entes públicos Unión Europea,0.0,0.0,108625.0
87200,Remanente de tesorería para gastos generales,0.0,7762538.28,0.0
87201,Remanente de tesorería para gastos con financiación afectada,0.0,5269556.83,0.0
93301,Préstamos para la financiación de inversiones,10750000.0,10750000.0,0.0
