#Orgánico,Funcional,Económico,R,Denominación Aplicación,Tot Crédito inicial 2019,Tot Crédito Definitivo,Tot Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1075187.0,1075187.0,601141.3
0110,9121,12000,,Retribuciones básicas de funcionarios,73457.0,73457.0,38591.22
0110,9121,12100,,Retribuciones complementarias funcionarios,115255.45,115255.45,58473.37
0110,9121,14100,,Otro personal,0.0,0.0,11311.22
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,379454.0,379454.0,209358.14
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2815.0,2815.0,1879.96
0110,9123,22695,,Otros gastos diversos oficina sindico,700.0,700.0,700.0
0110,9123,22699,,Otros gastos diversos,1327.0,1327.0,337.0
0110,9221,22690,,Elecciones 2019,0.0,129000.0,126939.08
0111,2328,11000,,Retribuciones personal eventual gabinete,85157.0,85157.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,31282.0,31282.0,8224.2
0111,2328,12100,,Retribuciones complementarias funcionarios,46668.0,46668.0,13176.09
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,30927.0,30927.0,5500.27
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3620.0,3620.0,505.54
0112,2301,12000,,Retribuciones básicas de funcionarios,279610.0,279610.0,127874.16
0112,2301,12100,,Retribuciones complementarias funcionarios,351420.0,351420.0,163043.08
0112,2301,14100,,Otro personal,39736.0,39736.0,39276.03
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,177550.0,177550.0,94110.48
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,14353.0,14353.0,7252.39
0116,2371,12000,,Retribuciones básicas de funcionarios,146944.0,146944.0,69876.53
0116,2371,12100,,Retribuciones complementarias funcionarios,183559.0,183559.0,87669.55
0116,2371,14100,,Otro personal,100360.0,100360.0,59604.61
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,117911.0,117911.0,58747.85
0116,2371,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7727.0,7727.0,3725.33
0116,2371,22115,,Material técnico específico juventud,100.0,100.0,73.51
0116,2371,22734,,Programa de ocio y tiempo libre,373369.7,373369.7,134753.79
0116,2371,22736,,Contrato servicios juventud,123025.55,123025.55,61183.2
0116,2371,22737,,Oficina municipal de información joven,4000.0,4000.0,658.34
0116,2371,22775,,Plan joven,129400.0,119400.0,9150.53
0116,2371,22775,R,Plan joven,0.0,4092.82,4092.82
0116,2371,41924,,Convenio consejo juventud Euskadi-fomento participación juvenil,10500.0,10500.0,0.0
0116,2371,48901,,Convenio citylab Deusto,0.0,18000.0,0.0
0116,2371,48935,,Convocatoria general subvenciones juventud,25000.0,25000.0,0.0
0116,2371,48936,,Convocatoria jóvenes informadores en EEMM,10000.0,10000.0,0.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,0.0
0116,2371,62800,,Adquisición publicaciones y libros OMIJ,1000.0,1000.0,0.0
0125,9124,12000,,Retribuciones básicas de funcionarios,100445.0,100445.0,45337.73
0125,9124,12100,,Retribuciones complementarias funcionarios,155337.0,155337.0,67827.62
0125,9124,14100,,Otro personal,59200.0,59200.0,27767.8
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,91079.0,91079.0,33573.23
0125,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3730.0,3730.0,3158.63
0126,9124,12000,,Retribuciones básicas de funcionarios,26651.0,26651.0,6496.86
0126,9124,12100,,Retribuciones complementarias funcionarios,54230.0,54230.0,21593.84
0126,9124,14100,,Otro personal,0.0,0.0,10021.9
0126,9124,16000,,Seguridad social a cargo del ayuntamiento,19350.0,19350.0,10146.84
0126,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2073.0,2073.0,722.2
0130,9201,11000,,Retribuciones personal eventual gabinete,82799.0,82799.0,41583.99
0130,9201,12000,,Retribuciones básicas de funcionarios,186918.0,186918.0,98542.88
0130,9201,12100,,Retribuciones complementarias funcionarios,291025.0,291025.0,144786.01
0130,9201,14100,,Otro personal,197.0,197.0,4493.62
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,107922.0,107922.0,55809.72
0130,9201,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,11207.0,11207.0,4855.61
0130,9201,22610,,Indemnizaciones,14000.0,14000.0,0.0
0130,9201,22617,,"Honorarios , minutas",39620.0,39620.0,271.9
0145,9121,11000,,Retribuciones personal eventual gabinete,247425.0,247425.0,116424.39
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,40704.0,40704.0,20372.73
0160,2381,12000,,Retribuciones básicas de funcionarios,112137.0,112137.0,59240.76
0160,2381,12100,,Retribuciones complementarias funcionarios,132720.0,132720.0,69752.64
0160,2381,14100,,Otro personal,50013.0,50013.0,3058.5
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,88276.0,88276.0,36623.33
0160,2381,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,4074.0,4074.0,1987.23
0160,2381,22115,,Material técnico especifico,550.0,0.0,0.0
0160,2381,22711,,Plan para la igualdad,210000.0,210000.0,3668.15
0160,2381,22743,,Casa de mujeres incluyente,31520.0,0.0,2456.75
0160,2381,22773,,Programación cursos de igualdad,75000.0,75000.0,70954.1
0160,2381,22773,R,Programación cursos de igualdad,0.0,3388.0,3388.0
0160,2381,22775,,"LGTBQ-tolerancia 0 a la homofobia,lesbofobia o transfobia",50000.0,50000.0,16866.42
0160,2381,48118,,Convenio Emakumeen etxea,0.0,90000.0,90000.0
0160,2381,48120,,Conv observatorio LGTBI,0.0,30000.0,30000.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,50000.0,50000.0,39999.99
0160,2381,62208,,Emakumeen etxea,100000.0,100000.0,10879.72
0162,2391,12000,,Retribuciones básicas de funcionarios,75320.0,75320.0,42412.94
0162,2391,12100,,Retribuciones complementarias funcionarios,101123.0,101123.0,52565.42
0162,2391,14100,,Otro personal,0.0,0.0,7277.45
0162,2391,16000,,Seguridad social a cargo del ayuntamiento,47646.0,47646.0,28238.61
0162,2391,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2119.0,2119.0,1121.82
0162,2391,22696,,Cuota Euskal Fondoa,11237.4,11237.4,11237.4
0162,2391,22699,,Otros gastos diversos cooperación,16000.0,16000.0,1865.41
0162,2391,22707,,Estudios y trabajos técnicos,87571.67,87571.67,0.0
0162,2391,22707,R,Estudios y trabajos técnicos,0.0,9147.6,4840.0
0162,2391,22799,,Otros trabajos exteriores,30000.0,30000.0,3286.98
0162,2391,48200,,Subvenciones de cooperación,1497262.6,1497262.6,295645.5
0162,2391,48205,,Convenio fondo alavés de emergencia,132000.0,132000.0,132000.0
0162,2391,48206,,Convenio asoc.amigos/as del RASD,320000.0,320000.0,0.0
0162,2391,48207,,Convenio Euskal Fondoa,207000.0,207000.0,207000.0
0162,2391,48210,,Convenio SETEM Hego Haizea,25000.0,25000.0,0.0
0162,2391,48211,,Convenio coordinadora ONGDS,24000.0,24000.0,24000.0
0162,2391,48212,,Convenio Afanis-vacaciones en paz,16000.0,16000.0,16000.0
0162,2391,48213,,Convenio comercio justo,32000.0,32000.0,32000.0
0171,3351,12000,,Retribuciones básicas de funcionarios,191819.0,191819.0,91485.06
0171,3351,12100,,Retribuciones complementarias funcionarios,213197.0,213197.0,104772.65
0171,3351,14100,,Otro personal,57665.0,57665.0,48123.39
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,134654.0,134654.0,71878.49
0171,3351,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7039.0,7039.0,3257.48
0171,3351,22741,,Cursos de euskera para madres y padres,500000.0,500000.0,213218.0
0171,3351,22748,,Semana del euskera,25000.0,25000.0,155.87
0171,3351,22780,,Plan euskera,200044.8,200044.8,3593.64
0171,3351,22780,R,Plan euskera,0.0,12797.02,5627.02
0171,3351,22799,,Traducciones externas euskera,15000.0,15000.0,3622.74
0171,3351,41802,,Convenio Euskaltzaindia centenario,25000.0,25000.0,0.0
0171,3351,41803,,Convenio Euskaltzaindia,63000.0,38000.0,0.0
0171,3351,42302,,Convenio con la cámara de comercio,10500.0,10500.0,0.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,0.0
0171,3351,48002,,Becas y bolsas de estudio al personal,60000.0,60000.0,0.0
0171,3351,48003,,Subvenciones cursos euskera a euskaltegi,99000.0,99000.0,0.0
0171,3351,48005,,Subvención plan general uso del euskera,120000.0,120000.0,0.0
0171,3351,48044,,Convenio GEU,77175.0,77175.0,77175.0
0171,3351,48048,,Convenio asociación Tinko,10500.0,10500.0,0.0
0171,3351,48049,,Convenio asociación Euskharan,24255.0,24255.0,24255.0
0171,3351,48064,,Convenio Korrika,3465.0,50000.0,50000.0
0171,3351,48123,,Convenio Araba euskaraz,0.0,25000.0,25000.0
0171,3351,48997,,Convenio Bai Euskarari,23100.0,23100.0,23100.0
0171,3351,62800,,Adquisición publicaciones y libros,1000.0,1000.0,0.0
0180,9271,11000,,Retribuciones personal eventual gabinete,78599.0,78599.0,54914.55
0180,9271,12000,,Retribuciones básicas de funcionarios,85404.0,85404.0,50815.27
0180,9271,12100,,Retribuciones complementarias funcionarios,99744.0,99744.0,58622.7
0180,9271,14100,,Otro personal,0.0,0.0,3667.61
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,75367.0,75367.0,49020.0
0180,9271,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,4157.0,4157.0,2772.48
0180,9271,22603,,Publicidad,650000.0,650000.0,149726.27
0180,9271,22603,R,Publicidad,0.0,48566.23,48512.84
0180,9271,22612,,Adquisición prensa diaria,25000.0,25000.0,9890.53
0180,9271,22616,,Servicios de asistencia técnica a prensa,20000.0,20000.0,6792.75
0180,9271,22631,,Participación municipal en otras instituciones,28000.0,28000.0,4915.0
0180,9271,22632,,Suscripciones,4397.43,4397.43,0.0
0180,9271,22634,,Organización de actos y gastos de representación,107411.27,119751.27,43596.43
0180,9271,22634,R,Organización de actos y gastos de representación,0.0,1739.82,0.0
0180,9271,22645,,Anuncios oficiales por ley,180000.0,180000.0,33507.93
0180,9271,22730,,Servicios almacenaje de fondos editoriales,20000.0,20000.0,8980.42
0180,9271,22732,,Contrato prestación servicios video actas,59000.0,30000.0,0.0
0180,9271,62505,,Otros enseres,2502.57,2502.57,682.2
0181,2327,12000,,Retribuciones básicas de funcionarios,60345.0,60345.0,31015.16
0181,2327,12100,,Retribuciones complementarias funcionarios,68506.0,68506.0,37527.24
0181,2327,14100,,Otro personal,48456.0,48456.0,20711.44
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,50441.0,50441.0,24517.27
0181,2327,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,902.0,902.0,616.28
0181,2361,22604,,Estrategia antirumor,15000.0,15000.0,5865.9
0181,2361,22608,,Programa de (información,18000.0,18000.0,11083.85
0181,2361,22610,,Ciudad educadora,23000.0,23000.0,9083.68
0181,2361,22613,,Traducción e interpretación,20000.0,20000.0,9760.28
0181,2361,22642,,Plan de convivencia y diversidad,200000.0,210000.0,24460.05
0181,2361,48128,,Conv.c. del sordo Alava-Arabako gorra,20000.0,20000.0,20000.0
0181,2361,48150,,Convenio SECOT-seniors españoles para cooperación técnica,0.0,3000.0,0.0
0181,2361,48901,,Convocatoria general de subvenciones,65000.0,65000.0,0.0
0181,2361,48970,,Conv.asoc.eginaren Eginez,27000.0,27000.0,0.0
0181,2361,48983,,Convenio GOIAN,100000.0,100000.0,100000.0
