#Económico,Denominación Aplicación Ingresos,C.INICIAL,C.DEFINITIVO,DRN NETOS
11201,Impuesto B. Inmuebles Naturaleza Rústica,,289346.45,288630.37
11202,Impuesto B. Inmuebles Naturaleza Urbana,,43445000.0,42697364.62
11203,Impuesto características especiales,,470779.28,470616.44
11301,Impuesto sobre vehiculos tracción mecánica,,16425000.0,16073149.7
11401,Impuesto sobre incremento valor terrenos,,15000000.0,11523573.34
13001,Impuesto sobre actividades económicas,,14700000.0,13631596.55
13002,Participación en cuotas provinciales y estatales,,1450000.0,78612.18
28201,Impuestos sobre construcciones e instalaciones,,7830000.0,6200785.1
28301,Aprovechamiento del coto de caza,,2111.0,2111.0
30001,Venta de efectos no utilizables,,40000.0,207.4
30002,Venta de publicaciones e impresos,,1000.0,0.0
30004,Venta de bienes y efectos en montehermoso,,5000.0,2583.6
30006,Venta de energía eléctrica,,3000.0,0.0
30007,Ingresos oficina de turismo,,25000.0,32182.92
31001,Recogida y eliminación de basuras,,10900000.0,10689679.32
31003,Servicios funerarios,,625000.0,373086.57
31004,"Expedición de informes, atestados, fotocopias, planos y similares",,285600.0,115040.17
31005,Retirada de vehículos de la vía pública,,312120.0,276410.59
31008,Servicio de prevención y extinción de incendios,,6120.0,2719.65
31013,Vertido de residuos en vertedero de Gardelegi,,4100000.0,3843621.23
31020,Evacuación de consultas urbanísticas,,15300.0,7336.04
31021,Vertido de aguas residuales no domesticas,,334060.2,221113.57
31022,Duplicado TMC,,10404.0,13007.0
31023,Transporte de energía,,150000.0,0.0
31026,Prestación servicios salud publica,,260100.0,152944.29
31027,Tasas de exámenes,,7140.0,50500.08
31028,Planta biocompost,,765000.0,0.0
31029,Recogida selectiva de envases y residuos,,1706000.0,541177.77
31101,Licencias de apertura de establecimientos,,300000.0,322863.9
31105,OTA,,0.0,280.78
31201,Otorgamiento de licencias urbanísticas,,306000.0,274618.99
32001,OTA - estacionamiento de vehículos en vías publicas,,1950000.0,1002529.1
32005,Cesiones de terrenos cementerio el salvador,,198900.0,37234.25
32102,Quioscos en vía pública,,2550.0,2016.0
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",,0.0,400546.07
32104,Veladores en vía pública,,332000.0,354035.59
32105,Instalaciones en vía publica,,663000.0,444071.82
32107,Apertura de calicatas y zanjas,,510000.0,8362.48
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",,4950000.0,68735.15
32110,Ocupación del suelo empresas explotadoras servicios y suministro,,0.0,2846185.33
32111,"Utilización del palacio de congresos, principal, pza toros...",,153000.0,0.0
32112,Utilización de salas en centros cívicos,,30600.0,167197.11
32113,Uso salas en centro empresas Jundiz,,10200.0,5927.4
32114,Uso espacios en CSCM,,1020.0,413.4
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,,1550000.0,1378442.13
34000,Prestación de servicios SSAA municipales,,700000.0,0.0
34001,Talleres salud publica,,30600.0,20187.79
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",,663000.0,365925.73
34004,Asistencia a domicilio 3ª edad,,675000.0,838454.25
34005,Estancias residencias 3ª edad,,4490000.0,2495044.01
34006,Talleres de intervención social,,71400.0,17533.44
34007,Formación ocupacional,,51000.0,17933.41
34008,Abono instalaciones Mendizorrotza,,6140000.0,6301795.92
34009,Abonos temporales y de temporada (gamarra),,165000.0,125847.0
34010,Utilización instalaciones deportivas (reserva y venta),,1270000.0,846833.88
34012,Matriculas en la academia mpal. de folklore,,148920.0,36514.51
34013,Cursos y talleres de cultura,,306000.0,330545.02
34014,Taquillas  teatro,,840000.0,526077.8
34015,Prestación de servicios de ludotecas,,6691.2,10618.1
34016,Prestamos de material audiovisual e iluminación de juventud,,8160.0,6605.83
34018,Talleres de presidencia,,290700.0,252151.05
34020,Abonados a campañas deportivas,,1370000.0,1074772.34
34023,Estancia en el C.A.M.A.S.,,40800.0,34022.32
34025, comidas centro socioculturales de mayores,,500000.0,270015.1
34026,Liquidación estancias en residencias 3ª edad,,62500.0,35667.28
34032,Venta de entradas presidencia,,0.0,5390.52
34038,Servicio de bodas,,30000.0,17449.38
34039,Compensación gastos de gestión,,1000000.0,0.0
34040,Ingresos estación de autobuses,,640000.0,463503.04
34041,Uso de parcelas en huertos urbanos municipales,,0.0,9852.7
34043,Ingresos gestión aparcamientos seguros de bicicletas,,0.0,4152.93
36003,Cuota UNESPA y compañías no conveniadas,,1040000.0,0.0
36100,Extinción incendios - cuota UNESPA y Cías. no conveniadas,,0.0,1080386.35
38001,Reintegro por pagos,,700000.0,853158.45
38002,Reintegros gastos por publicaciones en anuncios,,50000.0,6075.59
38003,Reintegro de gastos o indemnizaciones de Cías. aseguradoras,,106656.25,106669.32
38004,Reintegros por costas de la vía de apremio,,8000.0,2894.76
38005,Reintegro indemnizaciones vía judicial,,15000.0,0.0
38007,Reintegro explotaciones de servicios,,71035.0,0.0
38008,Reintegro explotaciones de servicios,,0.0,83390.14
39101,Multas por infracciones de trafico,,5480000.0,3290344.44
39102,Ingresos por procedimientos sancionadores,,805420.0,1077200.89
39103,Sanciones por incumplimientos contractuales,,0.0,-62524.0
39104,Sanciones por condiciones higiénico sanitarias de locales,,100000.0,0.0
39201,Recargos de apremio,,950000.0,681601.7
39401,Daños en vía publica por accidentes de vehículos,,100000.0,55559.67
39402,Daños en bienes mpales.por actos vandálicos,,7500.0,14449.67
39404,Ingresos ejecuciones subsidiarias,,90000.0,0.0
39405,Ingresos derivados de costas judiciales,,25000.0,3499.75
39601,Ingresos  empresas de telefonía,,1000000.0,214593.5
39901,Donativos,,2000.0,0.0
39902,Otros ingresos diversos,,50000.0,111231.21
39903,Intereses demora ejercicios anteriores,,4000.0,-13781.12
39906,Donativos Belén de La Florida,,15405.33,15708.5
39907,Ingresos rifa San Antón,,1.0,14446.1
39909,Participación ingresos aparcamientos,,40000.0,2126.5
40000,De la Admón. General,,480406.44,144396.7
41000,Del Gobierno Vasco,,13783582.37,7050711.03
42000,De la Diputación Foral de Alava,,9170254.7,7830002.26
42001,FOFEL,,172649154.35,129468145.99
42003,Impuestos no concertados,,300000.0,143496.18
43000,Entes públicos dentro término mpal,,12000.0,0.0
48000,De familias,,130000.0,50000.0
49000,De entes de la Unión Europea,,209593.59,95697.51
52500,Intereses en cajas y bancos ayuntamiento,,5000.0,2322.86
53200,De otras empresas,,600000.77,600000.77
54001,Rentas arrendamientos fincas urbanas Ayto,,150000.0,61698.33
54002,Arrendamiento locales semillero de empresas,,100000.0,93808.77
54004,Expl.serv.hosteleria en inmuebles municipales,,0.0,22377.63
54200,De terrenos rústicos,,1.0,0.0
55000,Productos de concesiones,,800000.0,493398.68
55005,Concesión explotación publicidad marquesinas,,150000.0,0.0
59002,Utilización de terrenos,,40000.0,38914.96
60300,Venta de terrenos PMS (incluidos honorarios de proy. básicos),,1277231.3,3851068.05
61200,De edificios y otras construcciones,,1767000.0,0.0
65000,Cuotas de urbanización,,0.0,4195.43
70000,Del Estado,,1700000.0,1700000.0
71000,Del Gobierno Vasco,,21239882.57,290091.81
72000,De la Diputación Foral de Alava,,9577667.42,2500000.0
73000,Entes públicos dentro término municipal,,25000.0,37296.04
87200,RTGG,,15952974.89,0.0
87201,RTGFA,,16128802.43,0.0
93301,Préstamos para la financiación de inversiones,,10750000.0,0.0
