#Económico,Denominación Aplicación Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto B. Inmuebles naturaleza rústica,292239.91,72.21
11202,Impuesto B. Inmuebles naturaleza urbana,43945678.72,66048.02
11203,Impuesto características especiales,475487.07,0.0
11301,Impuesto sobre vehículos tracción mecánica,16375000.0,15727985.44
11401,Impuesto sobre incremento valor terrenos,15150000.0,2150750.57
13001,Impuesto sobre actividades económicas,14742000.0,26446.79
13002,Participación en cuotas provinciales y estatales,1450000.0,0.0
28201,Impuestos sobre construcciones e instalaciones,8180000.0,2502889.38
28301,Aprovechamiento del coto de caza,2111.0,0.0
30001,Venta de efectos no utilizables,40000.0,0.0
30002,Venta de publicaciones e impresos,1000.0,6404.84
30004,Venta de bienes y efectos en montehermoso,5000.0,1380.65
30006,Venta de energía eléctrica,3000.0,0.0
30007,Ingresos oficina de turismo,25000.0,11017.9
31001,Recogida y eliminación de basuras,11118000.0,22517.24
31003,Servicios funerarios,650000.0,269958.6
31004,"Expedición de informes, atestados, fotocopias, planos y similares",288456.0,48826.52
31005,Retirada de vehículos de la vía pública,315241.2,117511.78
31008,Servicio de prevención y extinción de incendios,6181.2,1138.35
31013,Vertido de residuos en vertedero de Gardelegi,4264000.0,1023768.75
31020,Evacuación de consultas urbanísticas,15453.0,1441.53
31021,Vertido de aguas residuales no domesticas,337400.8,0.0
31022,Duplicado TMC,10508.04,2059.0
31023,Transporte de energía,151500.0,0.0
31026,Prestación servicios salud publica,262701.0,26539.64
31027,Tasas de exámenes,7211.4,0.0
31028,Planta biocompost,772650.0,0.0
31029,Recogida selectiva de envases y residuos,1723060.0,1048784.31
31101,Licencias de apertura de establecimientos,300000.0,37758.1
31105,OTA,0.0,112.76
31201,Otorgamiento de licencias urbanísticas,309060.0,81740.33
32001,OTA - estacionamiento de vehículos en vías publicas,1989000.0,728239.79
32005,Cesiones de terrenos cementerio el salvador,206856.0,24229.22
32102,Quioscos en vía pública,2575.5,678.69
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",0.0,128162.94
32104,Veladores en vía pública,335320.0,1738.42
32105,Instalaciones en vía publica,669630.0,52383.15
32107,Apertura de calicatas y zanjas,515100.0,4956.13
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",4950000.0,6842.04
32110,Ocupación del suelo empresas explotadoras servicios y suministro,0.0,906876.73
32111,"Utilización del palacio de congresos, principal, pza toros...",153000.0,0.0
32112,Utilización de salas en centros cívicos,30906.0,41293.65
32113,Uso salas en centro empresas Jundiz,10302.0,3177.43
32114,Uso espacios en CSCM,1030.2,75.84
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1612000.0,48901.56
34000,Prestación de servicios SSAA municipales,700000.0,0.0
