#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2021,Crédito Definitivo 2021,Obligado 
0110,9121,11000,,Retribuciones personal eventual gabinete,1153308.0,1153308.0,604006.0
0110,9121,12000,,Retribuciones básicas de funcionarios,54499.0,54499.0,37240.33
0110,9121,12100,,Retribuciones complementarias funcionarios,71896.0,71896.0,54598.13
0110,9121,14100,,Otro personal,0.0,0.0,12165.8
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,389528.0,389528.0,217417.69
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2934.0,2934.0,1445.15
0110,9123,22695,,Otros gastos diversos oficina sindica,700.0,700.0,700.0
0110,9123,22699,,Otros gastos diversos,1727.0,1727.0,1366.0
0111,2328,11000,,Retribuciones personal eventual gabinete,71675.0,71675.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,77709.0,77709.0,8672.46
0111,2328,12100,,Retribuciones complementarias funcionarios,77904.0,77904.0,13627.26
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,53756.0,53756.0,6869.25
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,1544.0,1544.0,509.6
0111,3411,22601,,Patrocinio centenario deportivo alavés,0.0,20000.0,0.0
0111,3411,22704,,Patrocinio Ironman Vitoria-Gasteiz,0.0,121000.0,0.0
0111,4332,22145,,Gastos sanitarios Coronavirus,0.0,0.0,164.0
0111,4332,22701,,Impulso a proyectos comunitarios,40000.0,40000.0,0.0
0111,4332,22707,,Estudios y trabajos técnicos,40000.0,40000.0,437.08
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,110000.0,57300.0,6050.0
0111,4332,48160,,Convenio Green Deal,40000.0,40000.0,0.0
0112,2301,12000,,Retribuciones básicas de funcionarios,149964.0,149964.0,70447.27
0112,2301,12100,,Retribuciones complementarias funcionarios,186106.0,186106.0,94100.3
0112,2301,14100,,Otro personal,37203.0,37203.0,9829.41
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,101307.0,101307.0,58287.88
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7116.0,7116.0,3848.66
0116,2371,12000,,Retribuciones básicas de funcionarios,151464.0,151464.0,73627.39
