#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto b.inmuebles naturaleza rustica,295000.0,293348.62
11202,Impuesto b.inmuebles naturaleza urbana,44875000.0,44865581.78
11203,Impuesto caracteristicasespeciales,475000.0,467966.46
11301,Impuesto sobre vehiculos traccion mecanica,16250000.0,15123345.22
11401,Impuesto sobre incremento valor terrenos,15150000.0,13034044.79
13001,Impuesto sobre actividades economicas,14515000.0,14808370.81
13002,Participacion en cuotas provinciales y estatales,1450000.0,1392653.89
28201,Impuestos sobre construcciones e instalaciones,11465000.0,12407766.84
28301,Aprovechamiento del coto de caza,2111.0,403.84
30001,Venta de efectos no utilizables,10000.0,1967.2
30002,Venta de publicaciones e impresos,5000.0,0.0
30004,Venta de bienes y efectos en montehermoso,5000.0,344.73
30006,Venta de energia electrica,0.0,17639.1
30007,Venta de bienes y efectos oficina de turismo,50000.0,37752.32
31001,Recogida y eliminacion de basuras,11075000.0,11124486.25
31003,Servicios funerarios,625000.0,603208.84
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000.0,139488.87
31005,Retirada de vehículos de la vía pública,455000.0,541926.09
31008,Servicio de prevención y extinción de incendios,10100.0,4249.18
31013,Vertido de residuos en vertedero de gardelegi,5215000.0,4159386.49
31020,Evacuación de consultas urbanísticas,8080.0,6832.5
31021,Vertido de aguas residuales no domesticas,250000.0,131652.48
31022,Duplicado tmc,8000.0,12917.84
31026,Prestación servicios salud publica,50000.0,49401.36
31027,Tasas de exámenes,50000.0,77003.35
31028,Planta biocompost,2390000.0,2216304.58
31029,Recogida selectiva de envases y residuos,1663000.0,2112175.01
31101,Licencias de apertura de establecimientos,303000.0,318000.98
31105,Ota,0.0,258.75
31201,Otorgamiento de licencias urbanísticas,500000.0,592645.12
32001,Ota - estacionamiento de vehículos en vías publicas,1997000.0,2041006.46
32005,Cesiones de terrenos cementerio el salvador,200000.0,122856.92
32102,Quioscos en vía pública,2626.0,3621.48
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",625000.0,793398.65
32104,Veladores en vía pública,485000.0,473035.52
32105,Instalaciones en vía publica,475000.0,559707.03
32107,Apertura de calicatas y zanjas,25000.0,59099.2
32109,"Ocupación del suelo, subsuelo y vuelo",250000.0,224799.27
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",4250000.0,5182193.0
32111,"Utilización del palacio de congresos, principal, pza toros...",135000.0,311720.68
32112,Utilización de salas en centros cívicos,100000.0,51402.34
32113,Uso salas en centro empresas jundiz,9900.0,7440.23
32114,Uso espacios en cscm,1009.36,2499.56
