#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1331803.0,1331803.0,348427.98
0110,9121,11001,,Retribuciones consecuc.objetivos,21967.0,21967.0,0.0
0110,9121,12000,,Retribuciones basicas de funcionarios,137527.0,137527.0,22820.38
0110,9121,12100,,Retribuciones complementarias funcionarios,199997.0,199997.0,47488.36
0110,9121,12105,,Retribuciones consecuc.objetivos,3999.0,3999.0,0.0
0110,9121,14100,,Otro personal,17157.0,17157.0,16926.58
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,542057.0,542057.0,154066.56
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8587.0,8587.0,1879.88
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0,0.0
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0,0.0
0111,2328,11000,,Retribuciones personal eventual gabinete,98713.0,98713.0,0.0
0111,2328,11001,,Retribuciones consecuc.objetivos,1112.0,1112.0,0.0
0111,2328,12000,,Retribuciones basicas de funcionarios,102392.0,102392.0,883.66
0111,2328,12100,,Retribuciones complementarias funcionarios,108230.0,108230.0,1714.5
0111,2328,12105,,Retribuciones consecuc.objetivos,3796.0,3796.0,0.0
0111,2328,14100,,Otro personal,0.0,0.0,14715.3
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,79335.0,79335.0,9482.08
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5336.0,5336.0,249.24
0111,3341,22704,,Patrocinio umbra light festival,0.0,0.0,95000.0
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000.0,125000.0,0.0
0111,3411,22705,,Patrocinio umbra light festival,95000.0,95000.0,0.0
0111,3411,22744,,Patrocinio btt internacional vitoria-gasteiz,80000.0,80000.0,0.0
0111,4332,22707,,Estudios y trabajos técnicos,80000.0,80000.0,0.0
0111,4332,22707,R,Estudios y trabajos técnicos,0.0,27097.95,27097.95
0111,4332,22725,,Otros gastos diversos casa consistorial,10000.0,10000.0,0.0
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,350000.0,350000.0,6719.12
0111,4332,22755,,"Diseño, contenidos y desarrollo maturana",200000.0,200000.0,0.0
0111,4332,41401,,Convenios promoción ciudad,70000.0,70000.0,0.0
0111,4332,62505,,Otros enseres casa consistorial,30000.0,30000.0,2915.59
0111,9204,22725,,Oficina del dato,90000.0,90000.0,0.0
0112,2301,12000,,Retribuciones basicas de funcionarios,150572.0,150572.0,27374.09
0112,2301,12100,,Retribuciones complementarias funcionarios,205893.0,205893.0,52132.41
0112,2301,12105,,Retribuciones consecuc.objetivos,3843.0,3843.0,0.0
0112,2301,14100,,Otro personal,212359.0,212359.0,58956.04
