#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto b.inmuebles naturaleza rustica,310000.0,688.16
11202,Impuesto b.inmuebles naturaleza urbana,49000000.0,63905.44
11203,Impuesto caracteristicasespeciales,500000.0,0.0
11301,Impuesto sobre vehiculos traccion mecanica,16000000.0,15929334.75
11401,Impuesto sobre incremento valor terrenos,14000000.0,4401464.62
13001,Impuesto sobre actividades economicas,16250000.0,144786.74
13002,Participacion en cuotas provinciales y estatales,1400000.0,0.0
28201,Impuestos sobre construcciones e instalaciones,12600000.0,4399682.52
28301,Aprovechamiento del coto de caza,2500.0,0.0
30001,Venta de efectos no utilizables,10000.0,483.0
30002,Venta de publicaciones e impresos,5000.0,211.0
30004,Venta de bienes y efectos en montehermoso,5000.0,0.0
30006,Venta de energia electrica,20000.0,0.0
30007,Venta de bienes y efectos oficina de turismo,40000.0,9158.38
31001,Recogida y eliminacion de basuras,20500000.0,571.75
31003,Servicios funerarios,650000.0,457777.38
31004,"Expedición de informes, atestados, fotocopias, planos y similares",150000.0,7329.46
31005,Retirada de vehículos de la vía pública,500000.0,108599.31
31008,Servicio de prevención y extinción de incendios,10000.0,39.6
31013,Vertido de residuos en vertedero de gardelegi,4400000.0,1021187.22
31020,Evacuación de consultas urbanísticas,8500.0,2089.49
31021,Vertido de aguas residuales no domesticas,150000.0,0.0
31022,Duplicado tmc,13500.0,3173.63
31026,Prestación servicios salud publica,55000.0,7737.85
31027,Tasas de exámenes,5000.0,25.8
31028,Planta biocompost,3200000.0,737915.92
31029,Recogida selectiva de envases y residuos,2500000.0,1140134.85
31101,Licencias de apertura de establecimientos,345000.0,96234.78
31105,Ota,0.0,150.25
31201,Otorgamiento de licencias urbanísticas,400000.0,295773.71
32001,Ota - estacionamiento de vehículos en vías publicas,2550000.0,920946.33
32005,Cesiones de terrenos cementerio el salvador,150000.0,26154.49
32102,Quioscos en vía pública,3030.0,730.74
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",1400000.0,332885.56
32104,Veladores en vía pública,530000.0,1771.53
32105,Instalaciones en vía publica,600000.0,47736.53
32107,Apertura de calicatas y zanjas,35000.0,18033.82
32109,"Ocupación del suelo, subsuelo y vuelo",100000.0,110361.98
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",4500000.0,1022581.76
32111,"Utilización del palacio de congresos, principal, pza toros...",225000.0,47732.25
32112,Utilización de salas en centros cívicos,50000.0,14551.56
32113,Uso salas en centro empresas jundiz,11000.0,9371.15
32114,Uso espacios en cscm,2900.0,136.79
32115,Transporte de energia,150000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1700000.0,875128.41
34001,Talleres salud publica,20000.0,59.43
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",200000.0,22209.32
34004,Asistencia a domicilio personas mayores,4900000.0,1275834.7
34005,Estancias residencias personas mayores,3400000.0,870941.71
34006,Talleres de intervencion social,84000.0,1861.61
34007,Formacion ocupacional,25000.0,6861.24
34008,Abono instalaciones mendizorrotza,6400000.0,6389931.18
34009,Abonos temporales y de temporada (gamarra),145000.0,20500.5
34010,Utilizacion instalaciones deportivas (reserva y venta),1300000.0,268442.87
34012,Matriculas en la academia mpal. de folklore,0.0,27066.41
34013,Cursos y talleres de cultura,380000.0,111907.72
34014,Taquillas  teatro,400000.0,252.5
34015,Prestacion de servicios de ludotecas,50000.0,1291.99
34016,Prestamos de material audiovisual e luminacion de juventud,10000.0,1484.61
34018,Talleres de presidencia,225000.0,31408.34
34020,Abonados a campañas deportivas,1350000.0,331016.85
34021,Precio prestacion servicio medico,0.0,60.0
34024,Estancias en pisos tutelados,50000.0,4396.04
34025, comidas centro socioculturales de mayores,2480.0,425.01
34026,Liquidacion estancias en residencias 3ª edad,125000.0,220.0
34027,Servicios de podologia en bizan,300000.0,0.0
34029,Cursos y actividades formativas,5000.0,0.0
34032,Venta de entradas presidencia,5000.0,843.0
34038,Servicio de bodas,25000.0,7023.17
34039,Compensacion gastos de gestion,400000.0,104.52
34040,Ingresos estación de autobuses,900000.0,312019.33
34041,Uso de parcelas en huertos urbanos,10500.0,10997.2
34043,Ingresos aparcamientos de bicicletas seguros,30000.0,19582.76
34045,Ingresos aparcamientos autocaravanas,65000.0,0.0
36100,Extinción incendios - cuota unespa y cias no conveniadas,1250000.0,-135.42
38001,Reintegro por pagos,1050000.0,222180.77
38002,Reintegros gastos por publicaciones en anuncios,100000.0,4824.17
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,30982.72
38004,Reintegros por costas de la via de apremio,1000.0,679.21
38005,Reintegro indemnizaciones via judicial,1000.0,1193.8
38008,Reintegro explotaciones de servicios,118000.0,16461.78
39101,Multas por infracciones de trafico,5900000.0,1350939.47
39102,Ingresos por procedimientos sancionadores,1200000.0,594715.51
39201,Recargos de apremio,900000.0,272161.04
39401,Daños en via publica por accidentes de vehiculos,28000.0,9393.99
39402,Daños en bienes mpales.por actos vandalicos,5000.0,0.0
39403,Actuaciones del seis por limpieza de calzadas por accid,5000.0,692.93
39404,Ingresos ejecuciones subsidiarias,10000.0,0.0
39405,Ingresos derivados de costas judiciales,10000.0,2225.67
39601,Ingresos  empresas de telefonia,800000.0,175997.88
39901,Donativos,1.0,0.0
39902,Otros ingresos diversos,250000.0,2898.7
39903,Intereses demora ejercicios anteriores,99.0,0.0
39906,Donativos belen de la florida,1.0,14687.87
39907,Ingresos rifa san anton,1.0,15646.0
39909,Participacion ingresos aparcamientos,50000.0,0.0
40000,De la admon. general,170376.08,8149.84
40001,Impuestos no concertados,288433.2,100676.61
41000,Del gobierno vasco,19524145.87,134309.37
42000,De la diputacion foral de alava,6692142.69,1222258.66
42001,Fofel,244634967.72,61220008.56
42002,Liquidacion fofel,0.0,9892045.77
47000,De empresas participadas,3000.0,0.0
48000,De familias,55000.0,0.0
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,60000.0,0.0
49000,Climate proyecto piloto net zero cities,153822.0,69822.0
49001,Proyectos formación para el empleo promovidos eell,272916.28,0.0
52500,Intereses en cajas y bancos ayuntamiento,1200000.0,182267.52
54001,Rentas arrendamientos fincas urbanas ayto,125000.0,7006.25
54002,Arrendamiento locales semillero de empresas,130000.0,31079.82
54004,Servicio hostelería en inmuebles municipales,25000.0,0.0
54101,Arrendamiento de terrenos rusticos,0.0,32.41
55000,Productos de concesiones,1250000.0,71008.67
55004,Cesion de uso plazas aparcamiento,20000.0,0.0
55200,Aprovechamientos especiales,500000.0,0.0
59002,Utilizacion de terrenos,20000.0,46.58
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),5075000.0,0.0
60301,Venta parcelas bloques de viviendas elm,5700000.0,0.0
61200,De edificios y otras construcciones,3209565.12,0.0
70000,Del estado,0.0,-3675.18
71000,Del gobierno vasco,15693292.37,5994854.37
72000,De la diputacion foral de alava,6049670.0,0.0
73000,Entes publicos dentro termino municipal,40000.0,0.0
79000,Proyecto life urban klima 20-50,682585.84,0.0
87001,Remanente de tesoreria para gastos generales,14159225.5,0.0
87002,Remanente de tesoreria para gastos con financiacion afectada,26387752.17,0.0
93301,Prestamos para la financiacion de inversiones,12494519.11,0.0
