#Organikoa,Funtzionala,Ekonomikoa,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,1110,11000,Kabineteko behin-behineko langileen ordainsariak,1093264.0,1093264.0,1176988.66
0110,1110,12000,Funtzionarioen oinarrizko ordainsariak,82799.0,82799.0,75062.56
0110,1110,12100,Funtzionarioen ordainsari osagarriak,138715.0,138715.0,140261.89
0110,1110,16000,"Gizarte Segurantza, enpresaren kontura",348394.0,348394.0,372980.89
0110,1110,16500,"Elkarkidetzako kuotak, Udalaren kontura",341.0,341.0,381.1
0110,1111,11000,Kabineteko behin-behineko langileen ordainsariak,179179.0,179179.0,28584.49
0110,1111,16000,"Gizarte Segurantza, enpresaren kontura",42596.0,42596.0,28118.83
0110,1111,16500,"Elkarkidetzako kuotak, Udalaren kontura",72.0,72.0,236.96
0110,1111,22699,Bestelako hainbat gastu,6000.0,5000.0,2457.43
0125,1211,12000,Funtzionarioen oinarrizko ordainsariak,44259.0,44259.0,62985.38
0125,1211,12100,Funtzionarioen ordainsari osagarriak,73071.0,73071.0,92996.26
0125,1211,14100,Bestelako langileak,141990.0,141990.0,159042.71
0125,1211,16000,"Gizarte Segurantza, enpresaren kontura",68509.0,68509.0,82566.82
0125,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",166.0,166.0,543.72
0126,1211,12000,Funtzionarioen oinarrizko ordainsariak,57657.0,57657.0,32918.65
0126,1211,12100,Funtzionarioen ordainsari osagarriak,99587.0,99587.0,47079.98
0126,1211,16000,"Gizarte Segurantza, enpresaren kontura",39618.0,39618.0,25656.92
0126,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",2224.0,2224.0,427.13
0130,1211,12000,Funtzionarioen oinarrizko ordainsariak,208999.0,208999.0,187738.98
0130,1211,12100,Funtzionarioen ordainsari osagarriak,320288.0,320288.0,267499.35
0130,1211,14100,Bestelako langileak,0.0,0.0,0.0
0130,1211,16000,"Gizarte Segurantza, enpresaren kontura",103004.0,103004.0,94357.18
0130,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",6198.0,6198.0,6452.72
0130,1211,22610,Kalte-ordainak,45000.0,6619517.53,6203854.91
0130,1211,22617,"Ordainsariak, minutak",80000.0,79100.0,82139.12
015501,4541,12000,Funtzionarioen oinarrizko ordainsariak,155909.0,155909.0,150131.59
015501,4541,12100,Funtzionarioen ordainsari osagarriak,175507.0,175507.0,167031.5
015501,4541,14100,Bestelako langileak,42995.0,42995.0,43088.57
015501,4541,16000,"Gizarte Segurantza, enpresaren kontura",97776.0,97776.0,102037.27
015501,4541,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,237.4
015501,4541,22699,Artxiboko kontserbazio-gastu materialak,6664.0,6664.0,6599.04
015501,4541,22752,Udal artxiboko kontratuak,43000.0,43000.0,42984.12
015502,4512,12000,Funtzionarioen oinarrizko ordainsariak,186628.0,175721.58,169758.63
015502,4512,12100,Funtzionarioen ordainsari osagarriak,252156.0,235796.36,232165.52
015502,4512,14100,Bestelako langileak,173423.0,173423.0,229926.49
015502,4512,16000,"Gizarte Segurantza, enpresaren kontura",169594.0,161449.59,186874.43
015502,4512,16500,"Elkarkidetzako kuotak, Udalaren kontura",620.0,620.0,778.05
015502,4512,22624,Folklore akademiako programazio-gastuak,27094.0,27094.0,26677.87
015502,4512,22757,Folklore Akademiako zerbitzu-enpresak,21582.5,21582.5,21410.62
015502,4514,22625,Folklore Akademiaren musika udalekuak,60000.0,60000.0,55000.0
015503,4511,20103,Alokairuak,45000.0,45000.0,44720.58
015503,4511,22635,Azkena Rock jaialdia,290994.0,290994.0,290994.0
015503,4512,13000,Lan-kontratudun langile finkoen ordainsariak,0.0,0.0,0.0
015503,4512,14100,Bestelako langileak,0.0,0.0,63103.2
015503,4512,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,381.7
015503,4519,12000,Funtzionarioen oinarrizko ordainsariak,0.0,0.0,0.0
015503,4519,12100,Funtzionarioen ordainsari osagarriak,0.0,0.0,0.0
015503,4519,16000,"Gizarte Segurantza, enpresaren kontura",0.0,0.0,0.0
015503,4519,22643,"Erraldoiak, harmailak eta jaiotza konpontzea",12887.0,23037.0,22934.77
015503,4519,22652,Beste kultura-jarduera batzuk,64000.0,64000.0,64061.98
015503,4519,22660,Inauteriak,21000.0,21000.0,22415.68
015503,4519,22661,Andre Maria Zuriaren jaiak,676800.0,676800.0,681851.74
015503,4519,22662,Olarizu,3000.0,3000.0,6791.36
015503,4519,22663,Eguberri eta erregetako kanpaina,180000.0,180000.0,179571.31
015503,4519,22664,San Anton eta Santa Ageda jaiak,12600.0,12600.0,14000.6
015503,4519,22733,Espazio publikoetako kultura-programak,150000.0,150000.0,153153.58
015503,4519,22756,Kultura-jardueretako zerbitzuak,157290.0,157290.0,153641.32
015504,4510,12000,Funtzionarioen oinarrizko ordainsariak,71399.0,71399.0,77954.78
015504,4510,12100,Funtzionarioen ordainsari osagarriak,117015.0,117015.0,117576.26
015504,4510,13000,Lan-kontratudun langile finkoen ordainsariak,0.0,0.0,0.0
015504,4510,14100,Bestelako langileak,113347.0,113347.0,1541.47
015504,4510,16000,"Gizarte Segurantza, enpresaren kontura",72911.0,72911.0,41015.9
015504,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,237.4
015504,4514,22622,Montehermoso Kulturunea,3000.0,3000.0,6442.07
015504,4514,22751,Montehermosoko zerbitzu-kontratuak,25000.0,25000.0,27504.97
015507,4530,12000,Funtzionarioen oinarrizko ordainsariak,119764.0,119764.0,121835.22
015507,4530,12100,Funtzionarioen ordainsari osagarriak,157690.0,157690.0,159093.51
015507,4530,14100,Bestelako langileak,161602.0,161602.0,123147.85
015507,4530,16000,"Gizarte Segurantza, enpresaren kontura",111264.0,111264.0,103736.81
015507,4530,16500,"Elkarkidetzako kuotak, Udalaren kontura",566.0,566.0,884.86
015507,4532,22115,Berariazko material teknikoa - Gazteria,300.0,300.0,495.87
015507,4532,22709,Jolas jaialdia,0.0,0.0,0.0
015507,4532,22732,Aisia eta denbora libreko zerbitzu-kontratuak,189400.0,187558.87,199284.9
015507,4534,22732,Zerbitzuak emateko kontratuak - Gazteria,125000.0,127370.0,96966.69
015507,4534,22775,Gazte Plana,100000.0,60694.85,65759.18
015508,4510,12000,Funtzionarioen oinarrizko ordainsariak,240573.0,240573.0,208731.99
015508,4510,12100,Funtzionarioen ordainsari osagarriak,317173.0,317173.0,259719.25
015508,4510,14100,Bestelako langileak,30924.0,30924.0,43529.34
015508,4510,16000,"Gizarte Segurantza, enpresaren kontura",161659.0,161659.0,145635.72
015508,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",789.0,789.0,924.58
015508,4510,21208,Ikus-entzunezko ekipoak konpontzea,1000.0,1000.0,96.8
015508,4510,22111,Tresna eta lanabesak,448.0,448.0,459.56
015508,4510,22300,Garraioa,2400.0,2400.0,656.66
015508,4510,22734,Iradier Arenako zerbitzuak kontratatzea,24700.0,24700.0,22293.71
015510,4513,12000,Funtzionarioen oinarrizko ordainsariak,454672.0,454672.0,444858.92
015510,4513,12100,Funtzionarioen ordainsari osagarriak,592264.0,592264.0,608089.78
015510,4513,14100,Bestelako langileak,78673.0,78673.0,75175.99
015510,4513,16000,"Gizarte Segurantza, enpresaren kontura",305650.0,305650.0,307351.49
015510,4513,16500,"Elkarkidetzako kuotak, Udalaren kontura",1229.0,1229.0,1969.84
015510,4513,21207,Ekipoak onik zaindu eta konpontzea,15680.0,15680.0,16241.41
015510,4513,22692,Musika Banda - kolaborazioak,1000.0,1000.0,1067.0
015510,4513,22699,Musika Bandaren programazio-gastuak,41800.0,57800.0,54217.73
015510,4513,22732,Zerbitzuak emateko kontratuak,6000.0,6000.0,5953.46
015520,4510,12000,Funtzionarioen oinarrizko ordainsariak,166060.0,166060.0,167510.88
015520,4510,12100,Funtzionarioen ordainsari osagarriak,222047.0,222047.0,225004.86
015520,4510,14100,Bestelako langileak,31755.0,37602.23,59994.84
015520,4510,16000,"Gizarte Segurantza, enpresaren kontura",108911.0,110565.77,122450.31
015520,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",276.0,276.0,432.04
015520,4518,22603,Antzoki-sarearen publizitate berezia,12201.0,12201.0,12743.05
015520,4518,22627,Ikuskizunak eta jaialdiak,723650.0,716148.0,705883.98
015520,4518,22732,Zerbitzuak emateko kontratuak,250000.0,250000.0,226004.83
0160,3101,12000,Funtzionarioen oinarrizko ordainsariak,91899.0,91899.0,98455.04
0160,3101,12100,Funtzionarioen ordainsari osagarriak,106851.0,106851.0,111993.62
0160,3101,14100,Bestelako langileak,9925.0,9925.0,0.0
0160,3101,16000,"Gizarte Segurantza, enpresaren kontura",49460.0,49460.0,50699.33
0160,3101,16500,"Elkarkidetzako kuotak, Udalaren kontura",76.0,76.0,118.7
0160,3101,22115,Berariazko material teknikoa,550.0,550.0,362.25
0160,3101,22710,III Berdintasun Plana,269500.0,234000.0,194784.65
0160,3101,22773,Berdintasunerako ikastaroak programatzea,45000.0,15300.0,10868.66
0171,1242,12000,Funtzionarioen oinarrizko ordainsariak,134080.0,134080.0,146979.47
0171,1242,12100,Funtzionarioen ordainsari osagarriak,161488.0,161488.0,177097.3
0171,1242,16000,"Gizarte Segurantza, enpresaren kontura",124846.0,124846.0,126597.84
0171,1242,16500,"Elkarkidetzako kuotak, Udalaren kontura",505.0,505.0,868.88
0171,1242,22741,Gurasoentzako euskara eskolak,385000.0,385000.0,395250.39
0171,1242,22748,Euskararen Astea,30000.0,30000.0,29757.32
0171,1242,22780,Euskara plana,225000.0,231000.0,160047.08
0171,1242,22799,"Kanpoko itzulpenak, euskera",10000.0,10000.0,1369.12
0171,3101,14100,Bestelako langileak,0.0,0.0,0.0
0180,4621,11000,Kabineteko behin-behineko langileen ordainsariak,56575.0,56575.0,56899.12
0180,4621,12000,Funtzionarioen oinarrizko ordainsariak,14692.0,14692.0,14917.79
0180,4621,12100,Funtzionarioen ordainsari osagarriak,25135.0,25135.0,24599.51
0180,4621,16000,"Gizarte Segurantza, enpresaren kontura",23872.0,23872.0,25101.46
0180,4621,16500,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,226.35
0180,4621,22634,Ekitaldiak antolatzea eta ordezkaritza-gastuak,60000.0,60000.0,59930.51
0187,4621,22603,Argitalpenak eta publizitatea,890000.0,875000.0,895750.02
0187,4621,22612,Eguneko prentsa erostea,30000.0,30000.0,28878.27
0187,4621,22616,Prentsa-zerbitzuak,15000.0,15000.0,47443.52
0187,4621,22631,Erakundeetako parte-hartzea,25000.0,25000.0,26252.33
0187,4621,22632,Harpidetzak,10000.0,10000.0,2809.76
0187,4621,22645,Hedabideetako ohiko iragarkiak,300000.0,285000.0,197796.26
0187,4621,22730,Argitalpen funtsak gordetzeko zerbitzua,24000.0,24000.0,25784.61
0188,4444,22600,Green capitalaren sustapena eta zabalkundea,0.0,0.0,0.0
0188,4444,22732,European Green Capital kontratuak,0.0,0.0,0.0
0210,1900,12000,Funtzionarioen oinarrizko ordainsariak,66897.0,66897.0,33565.38
0210,1900,12100,Funtzionarioen ordainsari osagarriak,108204.0,108204.0,60384.94
0210,1900,14100,Bestelako langileak,47138.0,47138.0,123322.08
