#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga,290000.0,290000.0,296367.9
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,42100000.0,42100000.0,44031300.7
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,14250000.0,14250000.0,14298101.15
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,16000000.0,16000000.0,17550173.09
13001,Ekonomia Jardueren gaineko Zerga,11600000.0,11600000.0,13849767.22
13002,Probintziako eta Estatuko kuotetako partaidetza,1050000.0,1050000.0,978571.91
28201,Eraikuntza eta instalazioen gaineko zergak,4750000.0,4750000.0,4907779.09
28301,Ehiza esparruaren ustiapena,8000.0,8000.0,1200.0
30001,Erabilgarri ez diren ondasunak saltzea,15000.0,15000.0,51534.5
30002,Argitalpen eta inprimakien salmenta,8000.0,8000.0,8.0
30004,Montehermosoko ondasun eta elementuen salmenta,0.0,0.0,62109.08
30006,Montehermosoko diru-sarrerak,0.0,0.0,7840.59
30007,Turismo Bulegoaren diru-sarrerak,10000.0,10000.0,0.0
31001,Zaborrak bildu eta suntsitzea,9690364.0,9690364.0,10221450.21
31002,Ontzi eta hondakinen gaikako bilketa,1200000.0,1200000.0,1127632.16
31003,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,10000.0,3251.29
31004,Ibilgailuak kaletik kentzea eta biltegian gordetzea,300000.0,300000.0,181679.07
31005,Hirigintza-kontsultei idatziz erantzutea,7000.0,7000.0,6817.69
31006,Hirigintza-lizentziak,10000.0,10000.0,7082.68
31007,Establezimenduak irekitzeko lizentziak,350000.0,350000.0,199570.67
31008,Etxeetakoez kanpoko ur zikinak estolda-sarera isurtzea,332000.0,332000.0,416373.82
31009,Gardelegiko zabortegian hondakinak hustea,4450000.0,4450000.0,3523248.62
31010,"Txostenak, argazkiak, planoak, fotokopiak eta antzekoak ematea",175000.0,175000.0,129742.24
31012,"Hileta-zerbitzuak: ehorztea, hilobitik ateratzea, lekualdatzeak...",570000.0,570000.0,890748.64
31015,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,70000.0,70000.0,76571.77
31016,LEP azterketetako tasak,0.0,0.0,812.0
31101,Instalazioak bide publikoan,550000.0,550000.0,635398.6
31102,Kioskoak bide publikoan,2500.0,2500.0,2550.6
31103,Mahaitxoak bide publikoan,150000.0,150000.0,311701.6
31104,Zangak eta beste irekitzea,400000.0,400000.0,256434.14
31105,TAO txandakakoa,2000000.0,2000000.0,1854283.71
31106,"Lurra, lurgaina eta lurpea okupatzea, Gasnalsa eta Iberdrola barne",4000000.0,4000000.0,3866441.52
31108,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",100000.0,100000.0,154435.41
31109,Gizarte-etxeetako gelak eta ekitaldi-aretoak erabiltzea,30000.0,30000.0,26195.69
31110,Ibilgailuen pasabideak,1700000.0,1700000.0,2075515.73
31111,Salbatzailearen hilerriko lurzoru-lagapenak,150000.0,150000.0,221561.19
31112,Jundizko enpresa zentroko aretoak erabiltzea,3000.0,3000.0,1327.78
31113,Bizikleta alokairua,0.0,0.0,187.18
34000,Udal sozietate anonimoek zerbitzuak ematea,0.0,0.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,0.0,0.0,34295.53
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",1100000.0,1100000.0,1036417.14
34003,Kultur ikastaro eta txangoak,0.0,0.0,60.0
34004,Etxez etxeko laguntza (3. adina),530000.0,530000.0,527666.17
34005,Egoitzetako egonaldiak (3. adina),3500000.0,3500000.0,3605350.56
34006,Gizartegintzako lantegiak,70000.0,70000.0,69633.89
34007,Lanaren bidezko prestakuntza,50000.0,50000.0,44405.31
34008,Mendizorrotzeko instalazioetarako abonamendua,5400000.0,5400000.0,5473111.41
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),135000.0,135000.0,135579.92
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),790000.0,790000.0,932822.83
34011,Izotz-pistan patinak alokatzea,0.0,0.0,417.1
34012,Udal Folklore Akademiako matrikulak,130000.0,130000.0,128480.34
34013,Kultur ikastaro eta lantegiak,200000.0,200000.0,204623.76
34014,Antzokiko leihatilak,460000.0,460000.0,300000.0
34015,Ludoteketako zerbitzuak,25000.0,25000.0,12632.6
34016,"Ikus-entzunezko materiala eta beste mailegatzea, gazteei",9000.0,9000.0,7812.84
34018,Lehendakaritzako lantegiak,60000.0,60000.0,169494.0
34020,Kirol kanpainetako abonatuak,1271000.0,1271000.0,1090158.36
34021,Osasun Zerbitzuaren prezioa,50000.0,50000.0,70014.0
34023,"Egonaldia, CAMAS",35000.0,35000.0,25848.02
34025,Adinekoentzako zentro soziokulturaletako bazkariak,300000.0,300000.0,370615.82
34026,Egoitzetako egonaldien likidazioa (3. adina),100000.0,100000.0,70678.05
34027,Udal enpresei zerbitzuak ematea,0.0,1600000.0,1459631.43
34029,Prestakuntza-ikastaro eta -jarduerak,0.0,0.0,677.44
34032,Lehendakaritzako sarrera-salmenta,0.0,0.0,4961.8
34036,Material didaktikoaren salmenta,0.0,0.0,155.08
34038,Ezkontza-zerbitzua,50000.0,50000.0,30450.0
34039,Kudeaketa gastuen konpentsazioa,2200000.0,2200000.0,2300514.5
36002,Urbanizazio-kuotak,1.0,1.0,18375.59
36003,Unespa eta hitzartu gabeko konpainien kuota,900000.0,900000.0,961868.39
38001,Ordainketak itzultzea,726700.0,726700.0,1601041.96
38002,Iragarki-argitalpenen gastuak itzultzea,2000.0,2000.0,86394.09
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0,190943.12,306919.08
38004,Premiamendu-bideko kostuak itzultzea,20000.0,20000.0,39865.16
38005,Bide judizialeko kalte-ordainak itzultzea,10000.0,10000.0,52284.03
39101,Trafiko arau-hausteengatiko isunak,6680000.0,6680000.0,9817381.91
39102,Prozedura zigortzaileetako diru-sarrerak,700000.0,700000.0,714585.88
39103,Kontratua ez betetzeagatiko zigorrak,40000.0,40000.0,676.97
39201,Premiamendu-gainordainak,1000000.0,1000000.0,1065246.04
39401,Auto-istripuek bide publikoan eragindako kalteak,100000.0,100000.0,103003.27
39402,Ekintza basatiek ondasunetan eragindako kalteak,5000.0,5000.0,8523.7
39404,Betearazte subsidiarioengatiko sarrerak,10000.0,10000.0,4450.64
39405,Epai kostuek sortutako sarrerak,15000.0,15000.0,88982.58
39601,Telefonia-enpresen sarrerak,1200000.0,1200000.0,822423.86
39901,Dohaintzak,2001.0,2001.0,1311.63
39902,Bestelako diru-sarrerak,50000.0,50000.0,52082.09
39903,Aurreko ekitaldietako berandutze-interesak,0.0,0.0,199.52
39906,Floridako jaiotzako dohainak,1.0,9082.1,9082.1
39907,San Anton zozketako diru-sarrerak,1.0,1.0,13773.0
40000,Administrazio Orokorretik,138101.0,138101.0,207261.05
41000,Eusko Jaurlaritzatik,11979947.1,11988659.5,11701988.43
42000,Arabako Foru Aldunditik,7115281.4,13689798.93,13013827.16
42001,FOFEL,119953089.93,119953089.93,126207459.59
42003,Hitzartu gabeko zergak,300000.0,300000.0,241989.42
42004,Estatuaren laguntzak berreskuratzea,24747800.0,24747800.0,24930651.98
43000,"Ente publikoak, udalerriaren barruan",0.0,600000.0,600000.0
47000,Enpresetatik,514700.0,646640.0,697500.0
48000,Familietatik,120000.0,120000.0,0.0
49000,Europar Batasuneko erakundeetatik,569837.79,569837.79,480354.98
52500,Udalaren interesak banku eta kutxetan,150000.0,150000.0,478696.74
53100,Udal partaidetza duten enpresen irabazietako partaidetza,1749100.0,1749100.0,1875100.0
53200,Beste enpresa batzuetatik,8000.0,8000.0,4206.05
54001,Udalaren hiri-funtsen alokairu-errentak,200000.0,200000.0,152677.66
54002,Enpresa-mintegietako lokalak alokatzea,100000.0,100000.0,126447.86
54003,Zezen-plazaren alokairua,1.0,1.0,13564.0
54101,Landa-funtsen alokairua,0.0,0.0,32.41
54200,Landa-funtsena,1.0,1.0,0.0
55000,Emakiden emaitzak,1950000.0,1950000.0,1410200.99
55100,Nekazaritza- eta baso-aprobetxamenduak,0.0,0.0,4650.77
59001,Suhiltzaileen etxeko instalazioak erabiltzea,0.0,0.0,480.0
59002,Lur sailak erabiltzea,50000.0,50000.0,40305.63
60900,Ondasunak besterendu eta saltzea,4669113.78,4669113.78,5419623.0
61200,Eraikinak eta bestelako eraikuntzak,4000000.0,4000000.0,0.0
70000,Estatutik,0.0,0.0,0.0
71000,Eusko Jaurlaritzatik,17800000.0,25233111.57,13892773.24
72000,Arabako Foru Aldunditik,800000.0,800000.0,630649.02
73000,"Ente publikoak, udalerriaren barruan",0.0,0.0,27871.78
79000,Europar Batasuneko erakunde publikoak,1700000.0,1700000.0,1273945.27
83200,Aseguratze-kontratuetako diru-sarrerak,200000.0,200000.0,23738.55
87200,Diruzaintza-soberakina,0.0,22928152.07,0.0
