#Organikoa,Funtzionala,Ekonomikoa,Azalpena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,Kabineteko behin-behineko langileen ordainsariak,1038287.45,1038287.45,1109658.32
0110,9121,12000,Funtzionarioen oinarrizko ordainsariak,23537.0,23537.0,44188.52
0110,9121,12100,Funtzionarioen ordainsari osagarriak,29778.0,29778.0,51021.24
0110,9121,16000,"Gizarte Segurantza, enpresaren kontura",488529.0,488529.0,338047.0
0110,9121,16500,"Elkarkidetzako kuotak, Udalaren kontura",1239.0,1239.0,2427.28
0110,9123,11000,Kabineteko behin-behineko langileen ordainsariak,1913.0,1913.0,5294.22
0110,9123,12000,Funtzionarioen oinarrizko ordainsariak,43047.0,43047.0,41881.82
0110,9123,12100,Funtzionarioen ordainsari osagarriak,66938.0,66938.0,67046.96
0110,9123,14100,Bestelako langileak,20217.0,20217.0,43816.93
0110,9123,16000,"Gizarte Segurantza, enpresaren kontura",32224.0,32224.0,34469.13
0110,9123,16500,"Elkarkidetzako kuotak, Udalaren kontura",3089.0,3089.0,2427.28
0110,9123,22699,Bestelako hainbat gastu,2000.0,2000.0,1968.66
0111,2328,12000,Funtzionarioen oinarrizko ordainsariak,17744.21,17744.21,23160.84
0111,2328,12100,Funtzionarioen ordainsari osagarriak,22836.0,22836.0,26259.55
0111,2328,16000,"Gizarte Segurantza, enpresaren kontura",11911.0,11911.0,15852.71
0111,2328,16500,"Elkarkidetzako kuotak, Udalaren kontura",1195.0,1195.0,1599.61
0112,2301,10000,Zinegotzien oinarrizko ordainsariak,0.0,0.0,0.0
0112,2301,12000,Funtzionarioen oinarrizko ordainsariak,131655.26,131655.26,180652.9
0112,2301,12100,Funtzionarioen ordainsari osagarriak,158231.0,158231.0,220195.71
0112,2301,16000,"Gizarte Segurantza, enpresaren kontura",107682.0,107682.0,123063.02
0112,2301,16500,"Elkarkidetzako kuotak, Udalaren kontura",9675.0,9675.0,10842.65
0116,2371,12000,Funtzionarioen oinarrizko ordainsariak,127039.06,127039.06,129814.44
0116,2371,12100,Funtzionarioen ordainsari osagarriak,154051.0,154051.0,155815.95
0116,2371,14100,Bestelako langileak,130741.0,130741.0,154292.26
0116,2371,16000,"Gizarte Segurantza, enpresaren kontura",124226.0,124226.0,115953.54
0116,2371,16500,"Elkarkidetzako kuotak, Udalaren kontura",10773.0,10773.0,8361.18
0116,2371,22115,Berariazko material teknikoa - Gazteria,100.0,100.0,120.18
0116,2371,22709,Jolas jaialdia,0.0,0.0,0.0
0116,2371,22732,Zerbitzuak emateko kontratuak - Gazteria,0.0,0.0,0.0
0116,2371,22733,Aisialdi eta denbora libreko kontratuak,0.0,0.0,0.0
0116,2371,22734,Aisialdi eta denbora libreko programa,355000.0,355000.0,362111.27
0116,2371,22775,Gazte Plana,91000.0,52500.0,47479.44
0125,9124,12000,Funtzionarioen oinarrizko ordainsariak,86028.35,86028.35,90372.21
0125,9124,12100,Funtzionarioen ordainsari osagarriak,122344.0,122344.0,128559.57
0125,9124,14100,Bestelako langileak,66646.0,66646.0,106123.65
0125,9124,16000,"Gizarte Segurantza, enpresaren kontura",89949.0,89949.0,87437.07
0125,9124,16500,"Elkarkidetzako kuotak, Udalaren kontura",3744.0,3744.0,1977.22
0126,9124,12000,Funtzionarioen oinarrizko ordainsariak,28341.3,28341.3,38105.44
0126,9124,12100,Funtzionarioen ordainsari osagarriak,56438.0,56438.0,43032.44
0126,9124,16000,"Gizarte Segurantza, enpresaren kontura",24899.0,24899.0,18546.33
0126,9124,16500,"Elkarkidetzako kuotak, Udalaren kontura",2478.0,2478.0,1877.81
0130,9201,12000,Funtzionarioen oinarrizko ordainsariak,197446.34,197446.34,191221.98
0130,9201,12100,Funtzionarioen ordainsari osagarriak,279924.0,279924.0,258681.3
0130,9201,16000,"Gizarte Segurantza, enpresaren kontura",98171.0,98171.0,78649.91
0130,9201,16500,"Elkarkidetzako kuotak, Udalaren kontura",12917.0,12917.0,10149.82
0130,9201,22610,Kalte-ordainak,15000.0,991277.16,977937.53
0130,9201,22612,Hitzarmenik gabeko kalte-ordainak,0.0,0.0,0.0
0130,9201,22617,"Ordainsariak, minutak",30000.0,51000.0,60832.98
0145,9121,11000,Kabineteko behin-behineko langileen ordainsariak,185458.67,185458.67,177532.54
0145,9121,12000,Funtzionarioen oinarrizko ordainsariak,22067.0,22067.0,0.0
0145,9121,12100,Funtzionarioen ordainsari osagarriak,31735.0,31735.0,0.0
0145,9121,16000,"Gizarte Segurantza, enpresaren kontura",78304.0,78304.0,30647.57
0145,9121,16500,"Elkarkidetzako kuotak, Udalaren kontura",1850.0,1850.0,0.0
0160,2381,12000,Funtzionarioen oinarrizko ordainsariak,120954.24,120954.24,96043.42
0160,2381,12100,Funtzionarioen ordainsari osagarriak,131980.0,131980.0,104954.67
0160,2381,16000,"Gizarte Segurantza, enpresaren kontura",71818.0,71818.0,68881.8
0160,2381,16500,"Elkarkidetzako kuotak, Udalaren kontura",2791.0,2791.0,2431.69
0160,2381,22115,Berariazko material teknikoa,550.0,550.0,132.76
0160,2381,22710,III. Berdintasun Plana,295000.0,295000.0,189496.88
0162,2391,12000,Funtzionarioen oinarrizko ordainsariak,42968.34,42968.34,37167.32
0162,2391,12100,Funtzionarioen ordainsari osagarriak,56100.0,56100.0,40492.82
0162,2391,14100,Bestelako langileak,48860.0,48860.0,56540.05
0162,2391,16000,"Gizarte Segurantza, enpresaren kontura",43764.0,43764.0,39562.42
0162,2391,16500,"Elkarkidetzako kuotak, Udalaren kontura",1239.0,1239.0,973.68
0162,2391,22696,Euskal Fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,Lankidetzako bestelako hainbat gastu,16000.0,16000.0,4914.26
0162,2391,22707,Azterlanak eta lan teknikoak,30000.0,30000.0,5959.8
0162,2391,22798,Kanpoko beste zenbait lan - Lankidetza,0.0,0.0,0.0
0162,2391,22799,Kanpoko beste zenbait lan,44560.0,44560.0,28657.32
0171,3351,12000,Funtzionarioen oinarrizko ordainsariak,159504.53,159504.53,188020.03
0171,3351,12100,Funtzionarioen ordainsari osagarriak,175965.0,175965.0,210596.41
0171,3351,14100,Bestelako langileak,118780.0,118780.0,96652.95
0171,3351,16000,"Gizarte Segurantza, enpresaren kontura",142492.0,142492.0,131793.93
0171,3351,16500,"Elkarkidetzako kuotak, Udalaren kontura",10301.0,10301.0,8998.49
0171,3351,22741,Gurasoentzako euskara eskolak,500000.0,500000.0,386583.81
0171,3351,22748,Euskararen Astea,25000.0,25000.0,25000.88
0171,3351,22780,Euskara plana,236250.0,236250.0,159941.86
0171,3351,22781,Euskararen ordenantzaren debatea dinamizatzea,24000.0,24000.0,0.0
0171,3351,22782,Antzokiko jarduera-programa,0.0,0.0,0.0
0171,3351,22799,"Kanpoko itzulpenak, euskera",15000.0,15000.0,5224.57
0180,9271,11000,Kabineteko behin-behineko langileen ordainsariak,58855.1,58855.1,50303.72
0180,9271,12000,Funtzionarioen oinarrizko ordainsariak,15943.0,15943.0,16812.19
0180,9271,12100,Funtzionarioen ordainsari osagarriak,24925.0,24925.0,25002.59
0180,9271,16000,"Gizarte Segurantza, enpresaren kontura",35429.0,35429.0,24304.59
0181,2327,12000,Funtzionarioen oinarrizko ordainsariak,33209.86,33209.86,57816.85
0181,2327,12100,Funtzionarioen ordainsari osagarriak,45906.75,45906.75,62255.32
0181,2327,14100,Bestelako langileak,34773.08,34773.08,35899.64
0181,2327,16000,"Gizarte Segurantza, enpresaren kontura",40073.69,40073.69,46586.14
0181,2327,16500,"Elkarkidetzako kuotak, Udalaren kontura",1768.0,1768.0,116.26
0182,1742,22700,"Hondakinak jasotzea eta mantentze lanak, herrietan eta hilerrian",1400000.0,1400000.0,1397073.03
0182,1743,21000,Azpiegiturak eta ondasun naturalak,45000.0,45000.0,48388.05
