#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,296000.0,296000.0,291066.8
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,45500000.0,45500000.0,46203464.7
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,14000000.0,14000000.0,13620481.09
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,18700000.0,18700000.0,22230882.79
13001,Ekonomia Jardueren gaineko Zerga,8500000.0,8500000.0,8683452.32
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,1450000.0,1456170.21
28201,Eraikuntza eta instalazioen gaineko zergak,6350000.0,6350000.0,5567356.01
28301,Ehiza esparruaren ustiapena,0.0,0.0,6333.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0,40000.0,35370.3
30002,Argitalpen eta inprimakien salmenta,1000.0,1000.0,3310.61
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,5000.0,2814.5
30006,Energia elektrikoa saltzea,3000.0,3000.0,10728.21
30007,Turismo Bulegoko ondasun eta elementuen salmenta,25000.0,25000.0,22580.52
31001,Zaborrak bildu eta suntsitzea,11500000.0,11500000.0,10227975.41
31002,Ontzi eta hondakinen gaikako bilketa,1706000.0,1706000.0,1584233.87
31003,Prebentzio eta Su Itzaltze Zerbitzua,6000.0,6000.0,1573.91
31004,Ibilgailuak bide publikotik kentzea,300000.0,300000.0,268011.32
31005,Hirigintza-kontsultei erantzutea,15000.0,15000.0,6604.69
31006,Hirigintza-lizentziak,250000.0,250000.0,263480.05
31007,Establezimenduak irekitzeko lizentziak,275000.0,275000.0,302417.0
31008,Etxeetakoez kanpoko ur zikinak isurtzea,327510.0,327510.0,108964.54
31009,Gardelegiko zabortegian hondakinak hustea,4000000.0,4000000.0,4364464.24
31010,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",300000.0,300000.0,338512.77
31012,Hileta-zerbitzuak.,600000.0,600000.0,537902.31
31015,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,250000.0,250000.0,279158.91
31016,Azterketa-tasak,7000.0,7000.0,7161.7
31019,Herritarren Udal Txartela bikoiztea,10000.0,10000.0,12675.0
31101,Instalazioak bide publikoan,650000.0,650000.0,559617.31
31102,Kioskoak bide publikoan,2500.0,2500.0,2607.36
31103,Mahaitxoak bide publikoan,280000.0,280000.0,248240.36
31104,Zangak eta beste irekitzea,450000.0,450000.0,426569.46
31105,TAO,2000000.0,2000000.0,1878337.86
