#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,288965.0,288965.0,289462.39
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44650000.0,44650000.0,43465694.11
11203,Ezaugarri bereziko higiezinak,0.0,0.0,470774.03
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16725000.0,16725000.0,16553481.26
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,12905000.0,12905000.0,8071343.27
13001,Ekonomi Jardueren gaineko Zerga,14700000.0,14700000.0,14247910.88
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,6550000.0,6550000.0,6120690.56
28301,Ehiza esparruaren ustiapena,2110.0,2110.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0,40000.0,37311.4
30002,Argitalpen eta inprimakien salmenta,1000.0,1000.0,1355.84
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,5000.0,1057.4
30006,Energia elektrikoa saltzea,3000.0,3000.0,4753.95
30007,Turismo Bulegoko ondasunen salmenta,25000.0,25000.0,31015.23
31001,Zaborrak bildu eta suntsitzea,10900000.0,10900000.0,10610367.32
31003,Hileta-zerbitzuak.,600000.0,600000.0,519540.17
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",280000.0,280000.0,120907.21
31005,Ibilgailuak bide publikotik kentzea,306000.0,306000.0,322633.47
31008,Prebentzio eta Su Itzaltze Zerbitzua,6000.0,6000.0,2087.48
31013,Gardelegiko zabortegian hondakinak hustea,4000000.0,4000000.0,3956918.63
31020,Hirigintza-kontsultei erantzutea,15000.0,15000.0,6637.36
31021,Etxeetakoez kanpoko ur zikinak isurtzea,327510.0,327510.0,184691.08
31022,Herritarren Udal Txartelaren kopia,10200.0,10200.0,10940.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,255000.0,255000.0,98923.15
31027,Azterketa-tasak,7000.0,7000.0,25780.2
31028,Biokonpost-lantegia,750000.0,750000.0,0.0
31029,Ontzi eta hondakinen gaikako bilketa,1706000.0,1706000.0,1039122.33
31101,Establezimenduak irekitzeko lizentziak,300000.0,300000.0,227329.29
31105,Taxi-lizentzia eskuratzeko azterketako tasa,0.0,0.0,109.98
31201,Hirigintza-lizentziak ematea,300000.0,300000.0,230496.28
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1900000.0,1900000.0,1015899.12
32005,CESIONES DE TERRENOS CEMENTERIO EL SALVADOR,195000.0,195000.0,120284.02
32102,Bide publikoetako kioskoak,2500.0,2500.0,1937.79
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",0.0,0.0,405353.82
32104,Bide publikoetako mahaitxoak,325000.0,325000.0,331363.05
32105,Bide publikoetako instalazioak,650000.0,650000.0,466030.79
32107,Zangak irekitzea,500000.0,500000.0,11709.28
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",4950000.0,4950000.0,68717.73
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,0.0,0.0,2899493.07
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",150000.0,150000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,30000.0,30000.0,203074.69
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10000.0,10000.0,11173.82
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1000.0,1000.0,368.83
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1550000.0,1550000.0,1454091.11
34000,Udal sozietate anonimoek zerbitzuak ematea,700000.0,700000.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,30000.0,30000.0,18583.25
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",650000.0,650000.0,344919.1
34004,Etxez etxeko laguntza (3. adina),660000.0,660000.0,586449.41
34005,Egoitzetako egonaldiak (3. adina),4400000.0,4400000.0,2527179.64
34006,Gizartegintzako lantegiak,70000.0,70000.0,8473.98
34007,Lanaren bidezko prestakuntza,50000.0,50000.0,23321.15
34008,Mendizorrotzeko instalazioetarako abonamendua,5990000.0,5990000.0,6321718.73
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),159000.0,159000.0,105609.07
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1219000.0,1219000.0,553810.78
34012,Udal Folklore Akademiako matrikulak,146000.0,146000.0,59022.73
34013,Kultur ikastaro eta lantegiak,300000.0,300000.0,267430.99
34014,Antzokiko leihatilak,350000.0,568071.47,455976.12
34015,Ludoteketako zerbitzuak,6560.0,6560.0,6780.55
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",8000.0,8000.0,4798.47
34018,Lehendakaritzako lantegiak,285000.0,285000.0,241130.58
34020,Kirol kanpainetako abonatuak,1325000.0,1325000.0,814527.91
34023,"Egonaldia, CAMAS",40000.0,40000.0,41446.45
34025,Adinekoentzako zentro soziokulturaletako bazkariak,488750.0,488750.0,300034.98
34026,Egoitzetako egonaldien likidazioa (3. adina),61200.0,61200.0,94082.27
34029,Funtzio Publikoaren ikastaro eta prestakuntza-jarduerak,0.0,0.0,1593.06
34032,Lehendakaritzako sarrera salmenta,0.0,0.0,4344.41
34038,Ezkontza-zerbitzua,30000.0,30000.0,18015.47
34039,Kudeaketa gastuen konpentsazioa,1000000.0,1000000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,640000.0,640000.0,365125.57
36100,Suteak itzaltzea - Unespa eta hitzartu gabeko konpainien kuota,948975.0,948975.0,0.0
38001,Okerreko ordainketak itzultzea,700000.0,700000.0,622971.64
38002,Iragarki-argitalpenen gastuak itzultzea,50000.0,50000.0,34124.87
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0,99267.33,171152.32
