#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2019ko Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1075187.0,1075187.0,843275.72
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,73457.0,73457.0,51960.0
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,115255.45,115255.45,88754.32
0110,9121,14100,,Bestelako langileak,0.0,0.0,16421.3
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",379454.0,379454.0,305730.04
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2815.0,2815.0,2494.39
0110,9123,22695,,Sindikoaren bulegoa. Bestelako hainbat gastu.,700.0,700.0,700.0
0110,9123,22699,,Bestelako hainbat gastu,1327.0,1327.0,337.0
0110,9221,22690,,Hauteskundeak 2019,0.0,199000.0,126939.08
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,85157.0,85157.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,31282.0,31282.0,10678.19
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,46668.0,46668.0,20060.82
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",30927.0,30927.0,8284.64
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3620.0,3620.0,722.2
0111,4332,22707,,Azterlanak eta lan teknikoak,0.0,18000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,279610.0,279610.0,153050.08
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,351420.0,351420.0,211271.22
0112,2301,14100,,Bestelako langileak,39736.0,39736.0,51142.56
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",177550.0,177550.0,124048.43
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",14353.0,14353.0,9020.22
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,146944.0,146944.0,95981.08
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,183559.0,183559.0,132626.24
0116,2371,14100,,Bestelako langileak,100360.0,100360.0,84059.19
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",117911.0,117911.0,88040.79
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7727.0,7727.0,5321.9
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,73.51
0116,2371,22734,,Aisialdi eta denbora libreko programa,373369.7,373369.7,304949.52
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,123025.55,123025.55,78656.92
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,4000.0,4000.0,658.34
0116,2371,22775,,Gazte Plana,129400.0,119400.0,22383.6
0116,2371,22775,R,Gazte Plana,0.0,4092.82,4092.82
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,48901,,Hitzarmena: Citylab Deusto,0.0,18000.0,12600.0
0116,2371,48935,,Gazteriako diru-laguntza deialdi orokorra,25000.0,25000.0,0.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,0.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,0.0
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,100445.0,100445.0,60271.89
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,155337.0,155337.0,102077.41
0125,9124,14100,,Bestelako langileak,59200.0,59200.0,51028.79
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",91079.0,91079.0,55149.71
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3730.0,3730.0,4781.02
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,26651.0,26651.0,7360.49
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,54230.0,54230.0,23775.22
0126,9124,14100,,Bestelako langileak,0.0,0.0,12468.42
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",19350.0,19350.0,11891.71
0126,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2073.0,2073.0,794.42
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,82799.0,82799.0,59679.96
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,186918.0,186918.0,130139.25
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,291025.0,291025.0,217935.46
0130,9201,14100,,Bestelako langileak,197.0,197.0,4493.62
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",107922.0,107922.0,82815.18
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11207.0,11207.0,6689.42
0130,9201,22610,,Kalte-ordainak,14000.0,14000.0,0.0
0130,9201,22617,,"Ordainsariak, minutak",39620.0,39620.0,1853.0
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,247425.0,247425.0,156295.99
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",40704.0,40704.0,28978.01
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,112137.0,112137.0,82115.08
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,132720.0,132720.0,107746.53
0160,2381,14100,,Bestelako langileak,50013.0,50013.0,3058.5
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",88276.0,88276.0,56212.16
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4074.0,4074.0,2838.9
0160,2381,22115,,Berariazko material teknikoa,550.0,0.0,0.0
0160,2381,22711,,Berdintasun Plana,210000.0,210000.0,29582.85
0160,2381,22743,,Emakumeentzako etxe inklusiboa,31520.0,0.0,2456.75
0160,2381,22773,,Berdintasunerako ikastaroak programatzea,75000.0,75000.0,85617.96
0160,2381,22773,R,Berdintasunerako ikastaroak programatzea,0.0,3388.0,3388.0
0160,2381,22775,,"LGTBQ - 0 tolerantzia homofobia, lesbofobia eta transfobiarekin",50000.0,50000.0,21501.45
0160,2381,48118,,Emakumeen etxearen hitzarmena,0.0,90000.0,90000.0
0160,2381,48120,,LGTBI behatokirako hitzarmena,0.0,30000.0,30000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,50000.0,50000.0,40720.99
0160,2381,62208,,Emakumeen etxea,100000.0,100000.0,10879.72
0162,2391,12000,,Funtzionarioen oinarrizko ordainsariak,75320.0,75320.0,58104.65
