#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Behin betiko kreditua 2020","DRN 2020"
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,292239.91,294768.98
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,43945678.72,43955031.15
11203,Ezaugarri bereziko higiezinak,475487.07,469433.53
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16375000.0,15813449.84
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0,10008827.61
13001,Ekonomi Jardueren gaineko Zerga,14742000.0,14172923.67
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,8180000.0,6795914.29
28301,Ehiza esparruaren ustiapena,2111.0,0.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0,3219.9
30002,Argitalpen eta inprimakien salmenta,1000.0,8624.4
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,1380.65
30006,Energia elektrikoa saltzea,3000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,25000.0,14911.1
31001,Zaborrak bildu eta suntsitzea,11118000.0,10233479.23
31003,Hileta-zerbitzuak.,650000.0,791049.23
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",288456.0,91926.78
31005,Ibilgailuak bide publikotik kentzea,315241.2,237347.15
31008,Prebentzio eta Su Itzaltze Zerbitzua,6181.2,8212.2
31013,Gardelegiko zabortegian hondakinak hustea,4264000.0,3160017.76
31020,Hirigintza-kontsultei erantzutea,15453.0,6745.03
31021,Etxeetakoez kanpoko ur zikinak isurtzea,337400.8,295736.86
31022,Herritarren Udal Txartelaren kopia,10508.04,2947.0
31023,Energia garraioa,151500.0,0.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,262701.0,70934.08
31027,Azterketa-tasak,7211.4,0.0
31028,Biokonpost-lantegia,772650.0,0.0
31029,Ontzi eta hondakinen gaikako bilketa,1723060.0,1846289.12
31101,Establezimenduak irekitzeko lizentziak,300000.0,240064.76
31105,TAO,0.0,141.23
31201,Hirigintza-lizentziak ematea,309060.0,279805.17
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1989000.0,1026995.92
32005,Salbatzailearen hilerriko lurzoru-lagapenak,206856.0,136265.19
32102,Bide publikoetako kioskoak,2575.5,1131.15
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",0.0,399811.84
32104,Bide publikoetako mahaitxoak,335320.0,282453.76
32105,Bide publikoetako instalazioak,669630.0,77157.28
32107,Zangak irekitzea,515100.0,14437.29
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",4950000.0,56736.25
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,0.0,2552466.16
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",153000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,30906.0,87106.22
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10302.0,3303.43
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1030.2,-485.03
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1612000.0,1533646.76
34000,Udal sozietate anonimoek zerbitzuak ematea,700000.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,31824.0,10425.08
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",669630.0,133884.47
34004,Etxez etxeko laguntza (3. adina),681750.0,955658.26
34005,Egoitzetako egonaldiak (3. adina),4534900.0,2226873.74
34006,Gizartegintzako lantegiak,72114.0,2608.77
34007,Lanaren bidezko prestakuntza,51510.0,19925.37
34008,Mendizorrotzeko instalazioetarako abonamendua,6385600.0,6335623.68
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),171600.0,132.85
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1320800.0,244021.76
