#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1126834.0
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,80881.0
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,122362.0
0110,9121,14100,,Bestelako langileak,3424.0
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",486919.0
0110,9123,22695,,Sindikoaren bulegoa. Bestelako hainbat gastu.,700.0
0110,9123,22699,,Bestelako hainbat gastu,1327.0
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,80951.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,68256.0
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,74556.0
0111,2328,14100,,Bestelako langileak,43111.0
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",80218.0
0111,4332,22621,,Politika pulikoen azterlan eta bilakaera,100000.0
0111,4332,22707,,Azterlanak eta lan teknikoak,18000.0
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,100000.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,225839.0
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,268039.0
0112,2301,14100,,Bestelako langileak,68220.0
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",185006.0
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,145721.0
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,183326.0
0116,2371,14100,,Bestelako langileak,117547.0
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",129469.0
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,378000.0
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,147521.5
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,6000.0
0116,2371,22775,,Gazte Plana,120000.0
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,35000.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0
0116,2371,62505,,Bestelako tresnak,1000.0
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,90580.0
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,140429.0
0125,9124,14100,,Bestelako langileak,78256.0
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",87691.0
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,10736.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,27412.0
0126,9124,14100,,Bestelako langileak,16752.0
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",16193.0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,85548.0
