#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Behin betiko kreditua 2021",DRN NETOS
11201,Landa-lurreko ondasun higiezinen gaineko zerga ,295000.0,294556.51
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44220000.0,44514285.93
11203,Ezaugarri bereziko higiezinak,475000.0,468744.55
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16375000.0,15504368.94
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0,10761278.26
13001,Ekonomi Jardueren gaineko Zerga,14300000.0,14773514.15
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,1247819.52
28201,Eraikuntza eta instalazioen gaineko zergak,8680000.0,12281240.22
28301,Ehiza esparruaren ustiapena,2111.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,30000.0,4455.4
30002,Argitalpen eta inprimakien salmenta,7000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,0.0
30006,Energia elektrikoa saltzea,0.0,929.82
30007,Turismo Bulegoko ondasunen salmenta,25000.0,33453.09
31001,Zaborrak bildu eta suntsitzea,10850000.0,10316367.99
31003,Hileta-zerbitzuak.,700000.0,628310.68
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",240000.0,58456.76
31005,Ibilgailuak bide publikotik kentzea,315000.0,124278.71
31008,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,1811.35
31013,Gardelegiko zabortegian hondakinak hustea,3850000.0,5706962.98
31020,Hirigintza-kontsultei erantzutea,8000.0,10027.12
31021,Etxeetakoez kanpoko ur zikinak isurtzea,300000.0,358600.14
31022,Herritarren Udal Txartelaren kopia,10000.0,8281.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,95000.0,81323.46
31027,Azterketa-tasak,3500.0,52432.3
31028,Biokonpost-lantegia,2185000.0,1925252.28
31029,Ontzi eta hondakinen gaikako bilketa,1330000.0,2138368.9
31101,Establezimenduak irekitzeko lizentziak,300000.0,338517.37
31105,TAO,0.0,199.29
31201,Hirigintza-lizentziak ematea,325000.0,548658.02
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1960000.0,1604301.63
32005,Salbatzailearen hilerriko lurzoru-lagapenak,230000.0,196168.4
32102,Bide publikoetako kioskoak,2575.5,2446.24
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",350000.0,916015.47
32104,Bide publikoetako mahaitxoak,300000.0,189904.51
32105,Bide publikoetako instalazioak,275000.0,225497.98
32107,Zangak irekitzea,20000.0,24148.16
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",0.0,284472.74
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,4175000.0,3548236.64
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",80000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,125000.0,184787.3
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10000.0,11849.11
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1000.0,965.38
32115,Energia garraioa,300000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1625000.0,1637434.12
34001,Osasun eta Kontsumo Sailaren lantegiak,9173.28,17456.67
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",355000.0,332968.65
34004,Etxez etxeko laguntza (3. adina),1450000.0,1499885.8
34005,Egoitzetako egonaldiak (3. adina),3195000.0,3172711.52
34006,Gizartegintzako lantegiak,40000.0,74484.31
34007,Lanaren bidezko prestakuntza,22000.0,21443.16
34008,Mendizorrotzeko instalazioetarako abonamendua,5900000.0,6026345.22
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),1000.0,42921.45
