#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Behin betiko kreditua 2021",DRN NETOS
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,295000.0,294736.1
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44220000.0,44511344.73
11203,Ezaugarri bereziko higiezinak,475000.0,468744.55
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16375000.0,15633806.0
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0,8058561.13
13001,Ekonomi Jardueren gaineko Zerga,14300000.0,726160.69
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,8680000.0,6277492.2
28301,Ehiza esparruaren ustiapena,2111.0,0.0
30001,Erabilgarri ez diren ondasunak saltzea,30000.0,4455.4
30002,Argitalpen eta inprimakien salmenta,7000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,0.0
30006,Energia elektrikoa saltzea,0.0,929.82
30007,Turismo Bulegoko ondasunen salmenta,25000.0,967.13
31001,Zaborrak bildu eta suntsitzea,10850000.0,10319305.76
31003,Hileta-zerbitzuak.,700000.0,502595.87
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",240000.0,52104.94
31005,Ibilgailuak bide publikotik kentzea,315000.0,123103.05
31008,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,572.7
31013,Gardelegiko zabortegian hondakinak hustea,3850000.0,3084135.85
31020,Hirigintza-kontsultei erantzutea,8000.0,5869.61
31021,Etxeetakoez kanpoko ur zikinak isurtzea,300000.0,358277.27
31022,Herritarren Udal Txartelaren kopia,10000.0,5070.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,95000.0,41712.8
31027,Azterketa-tasak,3500.0,52432.3
31028,Biokonpost-lantegia,2185000.0,730147.64
31029,Ontzi eta hondakinen gaikako bilketa,1330000.0,751217.7
31101,Establezimenduak irekitzeko lizentziak,300000.0,134003.85
31201,Hirigintza-lizentziak ematea,325000.0,296711.93
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1960000.0,388228.35
32005,Salbatzailearen hilerriko lurzoru-lagapenak,230000.0,51890.17
32102,Bide publikoetako kioskoak,2575.5,1357.38
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",350000.0,571823.79
32104,Bide publikoetako mahaitxoak,300000.0,196497.76
32105,Bide publikoetako instalazioak,275000.0,97448.22
32107,Zangak irekitzea,20000.0,6642.05
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",0.0,129939.43
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,4175000.0,1647862.22
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",80000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,125000.0,77434.18
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10000.0,4997.3
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1000.0,0.0
32115,Energia garraioa,300000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1625000.0,907559.72
34001,Osasun eta Kontsumo Sailaren lantegiak,9173.28,4491.08
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",355000.0,189377.53
34004,Etxez etxeko laguntza (3. adina),1450000.0,745764.58
34005,Egoitzetako egonaldiak (3. adina),3195000.0,1644886.43
34006,Gizartegintzako lantegiak,40000.0,18256.07
34007,Lanaren bidezko prestakuntza,22000.0,10224.73
34008,Mendizorrotzeko instalazioetarako abonamendua,5900000.0,5878373.37
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),1000.0,28686.25
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),614958.0,305079.48
34012,Udal Folklore Akademiako matrikulak,75000.0,23406.82
34013,Kultur ikastaro eta lantegiak,203871.52,70216.41
34014,Antzokiko leihatilak,370000.0,212034.63
34015,Ludoteketako zerbitzuak,11000.0,5891.55
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",4900.0,1272.79
34018,Lehendakaritzako lantegiak,169575.86,101710.9
34020,Kirol kanpainetako abonatuak,750000.0,248784.51
34023,"Egonaldia, CAMAS",50000.0,34660.65
34025,Adinekoentzako zentro soziokulturaletako bazkariak,290000.0,-1983.63
34026,Egoitzetako egonaldien likidazioa (3. adina),55000.0,14680.69
34029,Prestakuntza-ikastaro eta -jarduerak,7500.0,0.0
34032,Lehendakaritzako sarrera salmenta,6371.62,2170.35
34038,Ezkontza-zerbitzua,12000.0,8307.6
34039,Kudeaketa gastuen konpentsazioa,500000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,450000.0,135441.58
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10000.0,9672.67
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,7300.0,5784.32
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1040000.0,0.0
38001,Ordainketak itzultzea,820000.0,557683.86
38002,Iragarki-argitalpenen gastuak itzultzea,15000.0,9329.41
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,209001.0,259520.73
38004,Premiamendu-bideko kostuak itzultzea,8000.0,148.33
38005,Bide judizialeko kalte-ordainak itzultzea,1000.0,0.0
38008,Zerbitzu-ustiapenen itzulketak,126000.0,49385.34
39101,Trafiko arau-hausteengatiko isunak,5480000.0,2096388.35
39102,Prozedura zigortzaileetako diru-sarrerak,1600000.0,1846909.38
39201,Premiamendu-gainordainak,1030000.0,565466.34
39401,Auto-istripuek bide publikoan eragindako kalteak,90000.0,22428.52
39402,Ekintza basatiek ondasunetan eragindako kalteak,15000.0,3390.79
39404,Betearazte subsidiarioengatiko sarrerak,40000.0,4538.3
39405,Epai kostuek sortutako sarrerak,25000.0,0.0
39601,Telefonia-enpresen sarrerak,850000.0,221113.17
39902,Bestelako diru-sarrerak,125000.0,-1214.79
39903,Aurreko ekitaldietako berandutze-interesak,1000.0,0.0
39906,Floridako jaiotzako dohainak,5405.47,5404.47
39907,San Anton zozketako diru-sarrerak,1.0,8342.8
39909,Aparkalekuetako diru-sarreretako partizipazioa,25000.0,0.0
40000,Administrazio Orokorretik,322600.0,91704.9
40001,Hitzartu gabeko zergak,0.0,71748.09
41000,Eusko Jaurlaritzatik,19884634.96,6740344.19
42000,Arabako Foru Aldunditik,7005094.36,1244631.94
42001,FOFEL,166226932.34,82642561.93
42002,"FOFEL, likidazioa",6368976.29,7208976.29
47000,Babesleen plana,0.0,15000.0
48000,Familietatik,50000.0,7000.0
49000,Europar Batasuneko erakundeetatik,50000.0,0.0
52500,Udalaren interesak banku eta kutxetan,1000.0,0.0
53100,Udalaren partaidetza duten enpresen irabazietako partaidetza,1700000.0,900000.0
53200,Beste enpresa batzuetatik,0.0,0.0
54001,Udalaren hiri-funtsen alokairu-errentak,105000.0,13302.27
54002,Enpresa-mintegietako lokalak alokatzea,125000.0,56997.3
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,0.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,23000.0,0.0
55000,Emakiden emaitzak,675500.0,174818.14
55004,Aparkalekuak erabiltzeko lagapena,28000.0,19207.86
59002,Lur sailak erabiltzea,40000.0,5764.31
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",3675132.85,596552.0
61200,Eraikinak eta bestelako eraikuntzak,4466515.33,0.0
65000,Dato-Alaba Jeneralean etxebizitzak eraikitzeko baimenak ekarritako hirigintza-gainbalioak,976694.0,0.0
71000,Eusko Jaurlaritzatik,25621245.03,8528.56
72000,Arabako Foru Aldunditik,9684489.76,3937782.38
73000,"Ente publikoak, udalerrian",10000.0,0.0
87000,"Diruzaintza-soberakina, gastu orokorretarako",10349725.93,0.0
87001,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",12775868.86,0.0
93301,Inbertsioak finantzatzeko maileguak,17050000.0,0.0
