#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Hasierako kreditua 2022","DRN garbiak"
11201,Landa-lurreko ondasun higiezinen gaineko zerga ,295000.0,283867.39
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44972000.0,44706530.36
11203,Ezaugarri bereziko higiezinak,475000.0,468534.39
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16500000.0,15460294.76
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0,4100572.74
13001,Ekonomi Jardueren gaineko Zerga,14415000.0,14127117.26
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,10270000.0,8412923.39
28301,Ehiza esparruaren ustiapena,2111.0,0.0
30001,Erabilgarri ez diren ondasunak saltzea,20000.0,72.0
30002,Argitalpen eta inprimakien salmenta,7000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,0.0
30006,Energia elektrikoa saltzea,0.0,2553.96
30007,Turismo Bulegoko ondasunen salmenta,50000.0,18238.3
31001,Zaborrak bildu eta suntsitzea,11000000.0,11014521.23
31003,Hileta-zerbitzuak.,606000.0,566755.97
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000.0,140415.99
31005,Ibilgailuak bide publikotik kentzea,318150.0,394597.92
31008,Prebentzio eta Su Itzaltze Zerbitzua,10100.0,2388.15
31013,Gardelegiko zabortegian hondakinak hustea,5090000.0,3143818.93
31020,Hirigintza-kontsultei erantzutea,8080.0,6666.65
31021,Etxeetakoez kanpoko ur zikinak isurtzea,250000.0,49.2
31022,Herritarren Udal Txartelaren kopia,5000.0,6708.9
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,86000.0,29965.57
31027,Azterketa-tasak,90000.0,452.2
31028,Biokonpost-lantegia,2265000.0,1745824.53
31029,Ontzi eta hondakinen gaikako bilketa,1550000.0,1308048.66
31101,Establezimenduak irekitzeko lizentziak,303000.0,224277.92
31105,TAO,0.0,56.94
31201,Hirigintza-lizentziak ematea,435000.0,393515.38
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,2010000.0,391858.88
32005,Salbatzailearen hilerriko lurzoru-lagapenak,232300.0,126025.27
32102,Bide publikoetako kioskoak,2626.0,1431.9
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",600000.0,502961.1
32104,Bide publikoetako mahaitxoak,300000.0,464115.14
32105,Bide publikoetako instalazioak,300000.0,506790.82
32107,Zangak irekitzea,20200.0,26648.88
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",100000.0,225936.41
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,3775000.0,4424821.36
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",80800.0,145735.22
32112,Gizarte-etxeetako aretoak erabiltzea,126250.0,41732.73
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10100.0,7001.15
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1010.0,272.55
32115,Energia garraioa,300000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1641250.0,1482303.14
34001,Osasun eta Kontsumo Sailaren lantegiak,15500.0,3345.58
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",412000.0,281007.35
34004,Etxez etxeko laguntza (3. adina),2696133.0,1826582.04
34005,Egoitzetako egonaldiak (3. adina),3260000.0,2330331.9
34006,Gizartegintzako lantegiak,60000.0,9100.49
34007,Lanaren bidezko prestakuntza,24000.0,15637.11
34008,Mendizorrotzeko instalazioetarako abonamendua,5959000.0,6052137.04
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),60000.0,136516.45
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),675000.0,470308.68
34012,Udal Folklore Akademiako matrikulak,80000.0,54806.18
34013,Kultur ikastaro eta lantegiak,225000.0,130112.2
34014,Antzokiko leihatilak,600000.0,127958.53
34015,Ludoteketako zerbitzuak,11110.0,39752.49
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",6180.0,4043.58
34018,Lehendakaritzako lantegiak,185000.0,144311.47
34020,Kirol kanpainetako abonatuak,875500.0,653334.15
34023,"Egonaldia, CAMAS",60000.0,19414.73
34024,Zainpeko etxebizitzetako egonaldiak,0.0,2263.57
34025,Adinekoentzako zentro soziokulturaletako bazkariak,2550.0,1171.77
34026,Egoitzetako egonaldien likidazioa (3. adina),60000.0,23458.14
34029,Prestakuntza-ikastaro eta -jarduerak,7950.0,0.0
34032,Lehendakaritzako sarrera salmenta,6870.35,1073.5
34038,Ezkontza-zerbitzua,12120.0,13631.67
34039,Kudeaketa gastuen konpentsazioa,450000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,750000.0,378004.93
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10100.0,9363.62
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,8000.0,13644.26
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1100000.0,1180668.23
38001,Ordainketak itzultzea,820000.0,570141.04
38002,Iragarki-argitalpenen gastuak itzultzea,15000.0,38385.4
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,191001.0,170169.03
38004,Premiamendu-bideko kostuak itzultzea,8000.0,1042.68
38005,Bide judizialeko kalte-ordainak itzultzea,1000.0,10218.15
38008,Zerbitzu-ustiapenen itzulketak,126000.0,92701.95
39101,Trafiko arau-hausteengatiko isunak,5280000.0,2970115.01
39102,Prozedura zigortzaileetako diru-sarrerak,1600000.0,1160651.29
39201,Premiamendu-gainordainak,1030000.0,656418.66
39401,Auto-istripuek bide publikoan eragindako kalteak,90000.0,43775.57
39402,Ekintza basatiek ondasunetan eragindako kalteak,15000.0,2095.94
39403,SISZren jardunak galtzadak garbitzeko,0.0,2778.46
39404,Betearazte subsidiarioengatiko sarrerak,40000.0,0.0
39405,Epai kostuek sortutako sarrerak,25000.0,2509.1
39601,Telefonia-enpresen sarrerak,850000.0,531208.1
39902,Bestelako diru-sarrerak,125000.0,-3685.0
39903,Aurreko ekitaldietako berandutze-interesak,1000.0,-1824.84
39906,Floridako jaiotzako dohainak,1.0,5864.71
39907,San Anton zozketako diru-sarrerak,1.0,8269.0
39909,Aparkalekuetako diru-sarreretako partizipazioa,25000.0,2355.36
40000,Administrazio Orokorretik,1840595.04,19743.91
40001,Hitzartu gabeko zergak,0.0,153729.36
41000,Eusko Jaurlaritzatik,19490713.01,13518728.19
42000,Arabako Foru Aldunditik,8268492.84,5598145.52
42001,FOFEL,188785967.91,141984303.49
42002,FOFEL Likidazioa,32027315.78,32027315.78
48000,Familietatik,106500.0,0.0
49000,Europar Batasuneko erakundeetatik,62625.0,0.0
52500,Udalaren interesak kutxa eta bankuetan,0.0,7.0
54001,Udalaren hiri-funtsen alokairu-errentak,105000.0,62387.38
54002,Enpresa-mintegietako lokalak alokatzea,125000.0,98108.76
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,0.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,23000.0,37275.71
55000,Emakiden emaitzak,575000.0,262184.69
55004,Aparkalekuak erabiltzeko lagapena,28000.0,0.0
59002,Lur sailak erabiltzea,40000.0,5764.31
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",4215317.42,0.0
61200,Eraikinak eta bestelako eraikuntzak,5237000.0,0.0
70000,Estatutik,12855600.87,0.0
71000,Eusko Jaurlaritzatik,10429741.39,4136180.17
72000,Arabako Foru Aldunditik,8753161.23,931211.05
73000,"Ente publikoak, udalerrian",0.0,35066.43
87001,"Diruzaintza-soberakina, gastu orokorretarako",16728608.54,0.0
87002,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",23664405.07,0.0
93301,Inbertsioak finantzatzeko maileguak,11250000.0,0.0
