#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Hasierako kreditua 2022"
11201,Landa-lurreko ondasun higiezinen gaineko zerga ,295000.0
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44972000.0
11203,Ezaugarri bereziko higiezinak,475000.0
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16500000.0
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0
13001,Ekonomi Jardueren gaineko Zerga,14415000.0
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0
28201,Eraikuntza eta instalazioen gaineko zergak,10270000.0
28301,Ehiza esparruaren ustiapena,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,20000.0
30002,Argitalpen eta inprimakien salmenta,7000.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0
30006,Energia elektrikoa saltzea,0.0
30007,Turismo Bulegoko ondasunen salmenta,50000.0
31001,Zaborrak bildu eta suntsitzea,11000000.0
31003,Hileta-zerbitzuak.,606000.0
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000.0
31005,Ibilgailuak bide publikotik kentzea,318150.0
31008,Prebentzio eta Su Itzaltze Zerbitzua,10100.0
31013,Gardelegiko zabortegian hondakinak hustea,5090000.0
31020,Hirigintza-kontsultei erantzutea,8080.0
31021,Etxeetakoez kanpoko ur zikinak isurtzea,250000.0
31022,Herritarren Udal Txartelaren kopia,5000.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,86000.0
31027,Azterketa-tasak,90000.0
31028,Biokonpost-lantegia,2265000.0
31029,Ontzi eta hondakinen gaikako bilketa,1550000.0
31101,Establezimenduak irekitzeko lizentziak,303000.0
31201,Hirigintza-lizentziak ematea,435000.0
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,2010000.0
32005,Salbatzailearen hilerriko lurzoru-lagapenak,232300.0
32102,Bide publikoetako kioskoak,2626.0
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",600000.0
32104,Bide publikoetako mahaitxoak,300000.0
32105,Bide publikoetako instalazioak,300000.0
32107,Zangak irekitzea,20200.0
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",100000.0
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,3775000.0
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",80800.0
32112,Gizarte-etxeetako aretoak erabiltzea,126250.0
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10100.0
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1010.0
32115,Energia garraioa,300000.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1641250.0
34001,Osasun eta Kontsumo Sailaren lantegiak,15500.0
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",412000.0
34004,Etxez etxeko laguntza (3. adina),2696133.0
34005,Egoitzetako egonaldiak (3. adina),3260000.0
34006,Gizartegintzako lantegiak,60000.0
34007,Lanaren bidezko prestakuntza,24000.0
34008,Mendizorrotzeko instalazioetarako abonamendua,5959000.0
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),60000.0
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),675000.0
34012,Udal Folklore Akademiako matrikulak,80000.0
34013,Kultur ikastaro eta lantegiak,225000.0
34014,Antzokiko leihatilak,600000.0
34015,Ludoteketako zerbitzuak,11110.0
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",6180.0
34018,Lehendakaritzako lantegiak,185000.0
34020,Kirol kanpainetako abonatuak,875500.0
34023,"Egonaldia, CAMAS",60000.0
34024,Zainpeko etxebizitzetako egonaldiak,0.0
34025,Adinekoentzako zentro soziokulturaletako bazkariak,2550.0
34026,Egoitzetako egonaldien likidazioa (3. adina),60000.0
34029,Prestakuntza-ikastaro eta -jarduerak,7950.0
34032,Lehendakaritzako sarrera salmenta,6870.35
34038,Ezkontza-zerbitzua,12120.0
34039,Kudeaketa gastuen konpentsazioa,450000.0
34040,Autobus-geltoki berriko diru-sarrerak,750000.0
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10100.0
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,8000.0
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1100000.0
38001,Ordainketak itzultzea,820000.0
38002,Iragarki-argitalpenen gastuak itzultzea,15000.0
