#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2023eko Hasierako kreditua,2023eko Behin-betiko kreditua,O
0110,1515,22603,,PIIE - Zaramagako hurbileko bulegoaren gastuak,0.0,40000.0,8248.98
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1219221.42,1219221.42,1315386.21
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,82944.0,82944.0,106698.84
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,120857.0,120857.0,156711.8
0110,9121,14100,,Bestelako langileak,0.0,0.0,35724.77
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",434093.0,434093.0,492848.49
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4920.0,4920.0,6321.33
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,692.38
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,2195.2
0111,1341,62705,,Eu Hiri konektatuak,0.0,70000.0,20945.1
0111,1341,62705,R,Eu Hiri konektatuak,0.0,937750.0,128929.84
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,81115.0,81115.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,96224.0,96224.0,18125.58
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,106879.0,106879.0,29460.11
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",68801.0,68801.0,13095.69
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3243.0,3243.0,1081.22
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,125000.0
0111,4332,22703,,Hertzainak taldearen kontzertua babestea,0.0,30250.0,30250.0
0111,4332,22707,,Azterlanak eta lan teknikoak,110000.0,189795.5,122397.61
0111,4332,22707,R,Azterlanak eta lan teknikoak,0.0,9068.95,9068.95
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,110000.0,57650.0,107604.62
0111,4332,22743,R,Proiektu estrategikoak eta hiriko ekitaldiak,0.0,9068.95,9068.95
0111,4332,41401,,Bilbao Ekintza Tour de France,425000.0,434248.36,434248.36
0111,4332,47142,,Hitzarmena: hibridalab,60000.0,60000.0,32000.0
0111,4332,48160,,Hitzarmena: Green Deal,30000.0,20751.64,0.0
0111,9204,22725,,Eu datuaren bulegoa,90000.0,50000.0,0.0
0111,9204,22725,R,Eu datuaren bulegoa,0.0,111320.0,111320.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,149982.0,149982.0,148881.49
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,173430.0,173430.0,180034.6
0112,2301,14100,,Bestelako langileak,34861.0,34861.0,79000.9
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",99632.0,99632.0,117655.19
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5115.0,5115.0,8012.37
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,151481.0,151481.0,139304.63
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,186824.0,186824.0,172043.6
0116,2371,14100,,Bestelako langileak,39856.0,39856.0,97088.09
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",101460.0,101460.0,124738.01
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5419.0,5419.0,5863.2
0116,2371,22115,,Berariazko material teknikoa,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,370000.0,370000.0,365561.89
0116,2371,22734,R,Aisialdi eta denbora libreko programa,0.0,15262.5,15262.5
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,219801.0,215801.0,83367.36
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,15000.0,15000.0,13724.12
0116,2371,22775,,Gazte Plana,89540.0,89540.0,205052.38
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,41924,R,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,0.0,2100.0,2100.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,30000.0,30000.0,24885.0
0116,2371,48935,R,Gazteriako dirulaguntza deialdi orokorra,0.0,5400.0,4598.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,11000.0,11000.0,3750.0
0116,2371,48936,R,Irakaskuntza Ertainetako gazte informatzaileen deialdia,0.0,5500.0,5125.0
0116,2371,62505,,Bestelako tresnak,1000.0,11000.0,4884.84
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",500.0,500.0,494.53
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,142568.0,142568.0,123414.08
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,215815.0,215815.0,179084.0
0125,9124,14100,,Bestelako langileak,75602.0,75602.0,41184.55
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",104721.0,104721.0,89695.13
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7367.0,7367.0,7729.96
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,4369.0,4369.0,0.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,8574.0,8574.0,0.0
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",687.0,687.0,0.0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,92176.0,92176.0,52079.98
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,229380.0,229380.0,218801.4
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,336535.0,336535.0,344143.78
0130,9201,14100,,Bestelako langileak,45854.0,45854.0,69020.81
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",142326.0,142326.0,138399.18
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10878.0,10878.0,14678.14
0130,9201,22610,,Kalte-ordainak,1000.0,1000.0,0.0
0130,9201,22617,,"Ordainsariak, minutak",30000.0,35000.0,31808.72
0130,9201,62800,,Argitalpenak eta liburuak erostea,15000.0,15000.0,13716.54
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,266137.0,354036.06,297582.6
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",48898.0,66106.72,57075.59
0145,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,0.0,1498.51
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,135160.0,135160.0,125030.72
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,153529.0,153529.0,143494.03
0160,2381,14100,,Bestelako langileak,72602.0,72602.0,42565.89
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",97395.0,97395.0,90005.28
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5986.0,5986.0,4595.23
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,47735.63
0160,2381,22712,,Jabetze feministarako eskola,217125.0,217125.0,215487.03
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,80000.0,115000.0,77276.0
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,34275.31
0160,2381,48120,,Hitzarmena: LGTBI behatokia,100000.0,100000.0,100000.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,85000.0,85000.0,68000.0
0160,2381,48139,R,Emakume elkarteentzako diru-laguntza deialdia,0.0,14186.03,13681.32
0160,2381,62925,,Berdintasun eraikinak,5000.0,5000.0,3366.37
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,207515.0,207515.0,186763.16
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,234770.0,234770.0,228447.27
0171,3351,14100,,Bestelako langileak,45770.0,45770.0,119030.99
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",133438.0,133438.0,158925.32
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7945.0,7945.0,8283.44
0171,3351,22111,,Tresnak eta lanabesak,1500.0,1500.0,70.0
0171,3351,22707,,Izaskun arrue kulturgunearen komunikazio plana,0.0,150000.0,0.0
0171,3351,22741,,Gurasoentzako euskara eskolak,560000.0,560000.0,366439.06
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,1528.8
0171,3351,22780,,Euskara plana,195500.0,195500.0,220993.64
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000.0,10000.0,6429.9
0171,3351,41803,,Hitzarmena: Euskaltzaindia,63000.0,63000.0,50400.0
0171,3351,41803,R,Hitzarmena: Euskaltzaindia,0.0,12600.0,12600.0
0171,3351,42302,,Hitzarmena: merkataritza-ganbera,10500.0,10500.0,8400.0
0171,3351,42302,R,Hitzarmena: merkataritza-ganbera,0.0,2100.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,150000.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000.0,30000.0,15279.22
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000.0,120000.0,100283.88
0171,3351,48005,A,Euskararen Plan Nagusiko dirulaguntzak,0.0,4015.36,3036.52
0171,3351,48005,R,Euskararen Plan Nagusiko dirulaguntzak,0.0,19200.04,12825.1
