#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO KREDITUA,DRN
11201,Landa-lurreko ondasun higiezinen gaineko zerga ,295000.0,51.13
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44875000.0,61502.39
11203,Ezaugarri bereziko higiezinak,475000.0,0.0
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16250000.0,15230681.85
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0,3228689.45
13001,Ekonomi Jardueren gaineko Zerga,14515000.0,69301.91
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,11465000.0,2762907.18
28301,Ehiza esparruaren ustiapena,2111.0,0.0
30001,Erabilgarri ez diren ondasunak saltzea,10000.0,683.2
30002,Argitalpen eta inprimakien salmenta,5000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,344.73
30007,Turismo Bulegoko ondasunen salmenta,50000.0,9153.28
31001,Zaborrak bildu eta suntsitzea,11075000.0,14524.92
31003,Hileta-zerbitzuak.,625000.0,412708.83
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000.0,46330.82
31005,Ibilgailuak bide publikotik kentzea,455000.0,246073.11
31008,Prebentzio eta Su Itzaltze Zerbitzua,10100.0,7.4
31013,Gardelegiko zabortegian hondakinak hustea,5215000.0,1005338.57
31020,Hirigintza-kontsultei erantzutea,8080.0,2167.66
31021,Etxeetakoez kanpoko ur zikinak isurtzea,250000.0,-28916.53
31022,Herritarren Udal Txartelaren kopia,8000.0,3264.8
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,50000.0,11176.1
31027,Azterketa-tasak,50000.0,12792.78
31028,Biokonpost-lantegia,2390000.0,507421.82
31029,Ontzi eta hondakinen gaikako bilketa,1663000.0,649947.11
31101,Establezimenduak irekitzeko lizentziak,303000.0,85120.28
31201,Hirigintza-lizentziak ematea,500000.0,106043.64
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1997000.0,410903.5
32005,Salbatzailearen hilerriko lurzoru-lagapenak,200000.0,12736.81
32102,Bide publikoetako kioskoak,2626.0,1564.8
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",625000.0,186201.04
32104,Bide publikoetako mahaitxoak,485000.0,960.57
32105,Bide publikoetako instalazioak,475000.0,60358.59
32107,Zangak irekitzea,25000.0,23266.46
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",250000.0,33903.81
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,4250000.0,1473761.98
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",135000.0,44562.76
32112,Gizarte-etxeetako aretoak erabiltzea,100000.0,18811.37
32113,Jundizko enpresa-zentroko aretoak erabiltzea,9900.0,-200.96
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1009.36,0.0
32115,Energia garraioa,300000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1650000.0,777789.75
34001,Osasun eta Kontsumo Sailaren lantegiak,15500.0,2121.76
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",291497.0,120381.35
34004,Etxez etxeko laguntza (3. adina),2696133.0,773572.69
34005,Egoitzetako egonaldiak (3. adina),3260000.0,778494.6
34006,Gizartegintzako lantegiak,60000.0,1117.53
34007,Lanaren bidezko prestakuntza,24000.0,4810.48
34008,Mendizorrotzeko instalazioetarako abonamendua,6155000.0,5892431.33
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),140000.0,187.55
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),800000.0,533468.85
34012,Udal Folklore Akademiako matrikulak,80000.0,24174.34
34013,Kultur ikastaro eta lantegiak,225000.0,155545.65
34014,Antzokiko leihatilak,600000.0,67660.0
34015,Ludoteketako zerbitzuak,40000.0,6010.53
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",7000.0,662.29
34018,Lehendakaritzako lantegiak,175000.0,51570.18
34020,Kirol kanpainetako abonatuak,975000.0,155096.84
34023,"Egonaldia, CAMAS",50000.0,75.0
34024,Zainpeko etxebizitzetako egonaldiak,4000.0,0.0
34025,Adinekoentzako zentro soziokulturaletako bazkariak,2550.0,93.5
34026,Egoitzetako egonaldien likidazioa (3. adina),60000.0,514.7
34029,Prestakuntza-ikastaro eta -jarduerak,5000.0,0.0
34032,Lehendakaritzako sarrera salmenta,5000.0,2789.7
34038,Ezkontza-zerbitzua,20000.0,5080.02
34039,Kudeaketa gastuen konpentsazioa,450000.0,8436.8
34040,Autobus-geltoki berriko diru-sarrerak,700000.0,155799.94
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10100.0,10256.96
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,20000.0,6935.65
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1150000.0,0.0
38001,Ordainketak itzultzea,820000.0,138735.63
38002,Iragarki-argitalpenen gastuak itzultzea,30000.0,7329.46
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0,224478.75
38004,Premiamendu-bideko kostuak itzultzea,8000.0,11460.83
38005,Bide judizialeko kalte-ordainak itzultzea,1000.0,405.82
38008,Zerbitzu-ustiapenen itzulketak,126000.0,42235.53
39101,Trafiko arau-hausteengatiko isunak,5160000.0,1433107.59
39102,Prozedura zigortzaileetako diru-sarrerak,1630000.0,383575.28
39201,Premiamendu-gainordainak,1030000.0,346694.87
39401,Auto-istripuek bide publikoan eragindako kalteak,90000.0,5230.32
39402,Ekintza basatiek ondasunetan eragindako kalteak,15000.0,609.02
39403,SISZren jardunak galtzadak garbitzeko,5000.0,1240.32
39404,Betearazte subsidiarioengatiko sarrerak,20000.0,0.0
39405,Epai kostuek sortutako sarrerak,25000.0,7177.55
39601,Telefonia-enpresen sarrerak,850000.0,192133.57
39901,Dohaintzak,0.0,979.09
39902,Bestelako diru-sarrerak,125000.0,5292.6
39903,Aurreko ekitaldietako berandutze-interesak,1000.0,0.0
39906,Floridako jaiotzako dohainak,1.0,21325.95
39907,San Anton zozketako diru-sarrerak,1.0,15349.35
39909,Aparkalekuetako diru-sarreretako partizipazioa,20000.0,0.0
40000,Administrazio Orokorretik,311000.0,515796.67
40001,Hitzartu gabeko zergak,300000.0,0.0
41000,Eusko Jaurlaritzatik,17837724.07,5691968.68
42000,Arabako Foru Aldunditik,8699577.45,785108.0
42001,FOFEL,205734797.72,51427362.07
42002,FOFEL Likidazioa,0.0,3566407.11
47000,Babesteko plana,19000.0,19000.0
48000,Familietatik,55000.0,3500.0
48001,Vital Fundazioa: gazteak laneratzeko hazia hitzarmena,50000.0,0.0
49000,Europar Batasuneko erakundeetatik,32750.0,14750.0
52500,Udalaren interesak kutxa eta bankuetan,300000.0,265001.08
54001,Udalaren hiri-funtsen alokairu-errentak,105000.0,10831.83
54002,Enpresa-mintegietako lokalak alokatzea,125000.0,35000.87
54003,Zezen-plaza alokatzea,25000.0,0.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0,25011.71
54101,Udalaren hiri-funtsen alokairu-errentak,0.0,32.41
55000,Emakiden emaitzak,600000.0,84188.01
55004,Aparkalekuak erabiltzeko lagapena,20000.0,0.0
59002,Lur sailak erabiltzea,20000.0,33150.65
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",12768000.0,0.0
61200,Eraikinak eta bestelako eraikuntzak,880000.0,0.0
65000,Hitzarmena: florida 53,400000.0,0.0
70000,Estatutik,465200.63,0.0
71000,Eusko Jaurlaritzatik,21184697.47,708286.07
72000,Arabako Foru Aldunditik,2990000.0,81926.67
73000,"Ente publikoak, udalerrian",0.0,20165.35
87001,"Diruzaintza-soberakina, gastu orokorretarako",29816648.29,0.0
87002,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",33326719.06,0.0
93301,Inbertsioak finantzatzeko maileguak,13364000.0,0.0
