#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2023eko Hasierako kreditua,2023eko Behin-betiko kreditua,O
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1219221.42,1219221.42,653698.85
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,82944.0,82944.0,49801.75
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,120857.0,120857.0,75700.4
0110,9121,14100,,Bestelako langileak,0.0,0.0,7927.68
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",434093.0,434093.0,242772.35
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4920.0,4920.0,2525.53
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,700.0
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,1610.24
0111,1341,62705,R,Eu Hiri konektatuak,0.0,937750.0,24824.4
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,81115.0,81115.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,96224.0,96224.0,8840.14
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,106879.0,106879.0,14479.53
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",68801.0,68801.0,6524.96
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3243.0,3243.0,540.61
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,0.0
0111,4332,22703,,Hertzainak taldearen kontzertua babestea,0.0,30250.0,30250.0
0111,4332,22707,,Azterlanak eta lan teknikoak,110000.0,169795.5,32718.46
0111,4332,22707,R,Azterlanak eta lan teknikoak,0.0,9068.95,9068.95
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,110000.0,57650.0,47189.87
0111,4332,22743,R,Proiektu estrategikoak eta hiriko ekitaldiak,0.0,9068.95,9068.95
0111,4332,41401,,Bilbao Ekintza Tour de France,425000.0,425000.0,0.0
0111,4332,47142,,Hitzarmena: hibridalab,60000.0,60000.0,0.0
0111,4332,48160,,Hitzarmena: Green Deal,30000.0,30000.0,0.0
0111,9204,22725,,Eu datuaren bulegoa,90000.0,90000.0,0.0
0111,9204,22725,R,Eu datuaren bulegoa,0.0,111320.0,27588.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,149982.0,149982.0,75532.26
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,173430.0,173430.0,92835.58
