#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2024ko Hasierako kreditua,2024ko Behin-betiko kreditua,O
0110,1515,22603,R,PIIE-Zaramagako hurbileko bulegoko gastuak,0,31751.02,724.48
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1266859,1266859,1374147.95
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,106397,106397,134478.59
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,163057,163057,198980.75
0110,9121,14100,,Bestelako langileak,4780.79,4780.79,4507.43
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",499052,499052,526929.4
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5521,5521,8806.54
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900,900,228.47
0110,9123,22699,,Bestelako hainbat gastu,2000,2000,2669.28
0111,1341,62705,A,EU-Hiri konektatuak,0,779614.2,75928.1
0111,1341,62705,R,EU-Hiri konektatuak,0,49054.9,1361.25
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,94609.27,94609.27,0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,93789,93789,18963.03
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,109047,109047,30680.43
0111,2328,14100,,Bestelako langileak,0,0,7558.38
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",76657,76657,16336.77
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3919,3919,1113.7
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000,125000,125000
0111,3411,22705,,Babesa: Umbra Light Festival jaialdia,0,95000,0
0111,4332,22601,,Babesa: Arabako musikako kontzertu sinfonikoa,0,12000,12000
0111,4332,22705,,Babesa: Vitoria-Gasteiz Trail,0,15000,15000
0111,4332,22707,,Azterlanak eta lan teknikoak,159710.5,110216.5,84928.29
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,294388.5,294388.5,250496.72
0111,4332,41401,,Hitzarmena: Hiriaren sustapena,150000,43000,0
0111,4332,47142,R,Hitzarmena: Hibridalab,0,8000,7515.12
0111,4332,48160,,Hitzarmena: Green Deal,20000,10000,0
0111,9204,22724,,Eu datuaren bulegoa,90000,0,0
0111,9204,22725,,Eu datuaren bulegoa,0,90000,28155.66
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,154169.35,154169.35,146608.16
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,191613,191613,177246.76
0112,2301,14100,,Bestelako langileak,14543,14543,150628.79
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",104416,104416,142762.98
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7541,7541,11179.69
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,143204.98,143204.98,170926.53
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,182375,182375,205890.47
0116,2371,14100,,Bestelako langileak,103707,103707,67165.47
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",133981,133981,131519.97
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6040,6040,6039.04
0116,2371,22115,,Berariazko material teknikoa,100,100,477.69
0116,2371,22734,,Aisialdi eta denbora libreko programa,370000,352000,294186.55
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,215801,215801,219382.5
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,70000,70000,20662.52
0116,2371,22775,,Gazte Plana,100000,100000,193112.44
0116,2371,22776,,Gazte Plaza,50000,50000,33880
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500,10500,8400
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,30000,30000,24480
0116,2371,48935,R,Gazteriako dirulaguntza deialdi orokorra,0,5115,4535
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,11000,11000,3500
0116,2371,48936,R,Irakaskuntza ertainetako gazte informatzaileen deialdia,0,3750,3750
0116,2371,48937,,Ingelesaren ezagutza sustatzeko laguntzak,0,30000,14420.34
0116,2371,62505,,Bestelako tresnak,6000,14000,13897.73
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",500,500,490.76
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,128899.77,128899.77,123408.66
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,195413,195413,177636.61
0125,9124,14100,,Bestelako langileak,39483,39483,77197.8
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",95550,95550,102741.08
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7963,7963,7496.65
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,1,1,0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,510,510,0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,68802.14,68802.14,257.84
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,234017,234017,263997.61
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,412629,412629,402486.27
0130,9201,14100,,Bestelako langileak,68748,68748,35784.53
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",159152,159152,138051.34
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",15714,15714,12794.37
0130,9201,22610,,Kalte-ordainak,1000,158680.42,157680.42
0130,9201,22617,,"Ordainsariak, minutak",30000,30000,43741.09
0130,9201,62800,,Argitalpenak eta liburuak erostea,15000,15000,14274.64
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,299626.95,299626.95,261217.41
0145,9121,12000,,Funtzionarioen oinarrizko ordainsariak,0,0,29419.93
0145,9121,12100,,Funtzionarioen ordainsari osagarriak,0,0,52327.36
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",59377,59377,62878.13
0145,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1069,1069,3799.36
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,143631.1,143631.1,134052.54
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,190054,190054,153469.01
0160,2381,14100,,Bestelako langileak,47097,47097,92468.15
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",109498,109498,131979.73
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6515,6515,6157.77
0160,2381,22711,,Berdintasun Plana,65000,65000,60196.1
0160,2381,22712,,Jabetze feministarako eskola,245000,235000,241712.28
0160,2381,22712,R,Jabetze feministarako eskola,0,1556.94,0
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,100000,200000,136628.57
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000,40000,40000
0160,2381,22730,,Argitalpen funtsak gordetzeko zerbitzua,,,
0160,2381,48120,,Hitzarmena: LGTBI behatokia,100000,100000,100000
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,100000,100000,80000.02
0160,2381,48139,R,Emakume elkarteentzako diru-laguntza deialdia,0,17000,15344.13
0160,2381,62925,,Emakume elkarteentzako diru-laguntza deialdia,12000,22000,13105.7
0171,3351,12000,,Berdintasun eraikinak,200353.42,200353.42,203354.77
0171,3351,12100,,Funtzionarioen oinarrizko ordainsariak,243547,243547,252701.6
0171,3351,14100,,Bestelako langileak,113195,113195,136941.98
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",170075,170075,172187
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8145,8145,8240.75
0171,3351,22111,,Tresnak eta lanabesak,1500,11500,413.95
0171,3351,22741,,Gurasoentzako euskara eskolak,560000,569034.14,450289.92
0171,3351,22742,,Udal langileentzako ikastaroak,8500,8500,4967.05
0171,3351,22780,,Euskara plana,200000,196000,181266.08
0171,3351,22781,,Gasteiz euskararen hiria,50000,50000,45851.04
0171,3351,22799,,"Kanpoko itzulpenak, euskera",10000,10000,5224.29
0171,3351,41803,,Hitzarmena: Euskaltzaindia,63000,63000,50400
0171,3351,41803,R,Hitzarmena: Euskaltzaindia,0,12600,12600
0171,3351,42302,,Hitzarmena: merkataritza-ganbera,10500,10500,8400
0171,3351,42302,A,Hitzarmena: merkataritza-ganbera,0,2100,0
0171,3351,42302,R,Hitzarmena: merkataritza-ganbera,0,2100,0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000,150000,148487.16
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,30000,30000,9622.21
0171,3351,48005,,Euskararen Plan Nagusiko dirulaguntzak,120000,120000,99089.91
0171,3351,48005,A,Euskararen Plan Nagusiko dirulaguntzak,0,6774.12,6070.83
0171,3351,48005,R,Euskararen Plan Nagusiko dirulaguntzak,0,19199.97,14144.39
0171,3351,48044,,Hitzarmena GEUrekin,77175,77175,61740
0171,3351,48044,R,Hitzarmena GEUrekin,0,15435,15435
0171,3351,48048,,Hitzarmena Tinko elkartearekin,10500,10500,8400
0171,3351,48048,R,Hitzarmena Tinko elkartearekin,0,2100,2100
0171,3351,48049,,Hitzarmena Euskharan elkartearekin,25000,25000,20000
0171,3351,48049,R,Hitzarmena Euskharan elkartearekin,0,5000,5000
0171,3351,48064,,Hitzarmena: Korrika,0,4000,3200
0171,3351,48065,,Hitzarmena: Euskaraldia,50000,50000,40000
0171,3351,48065,R,Hitzarmena: Euskaraldia,0,10000,10000
0171,3351,48101,,Hitzarmena: Araba Euskaraz,20000,20000,16000
0171,3351,48101,R,Hitzarmena: Araba Euskaraz,0,4000,4000
0171,3351,48103,,Hitzarmena: Lazarraga - Izaskun arrue kulturgunea,350000,325000,260000
0171,3351,48997,,Hitzarmena: Bai Euskarari,23100,23100,18480
0171,3351,48997,R,Hitzarmena: Bai Euskarari,0,4620,4620
0171,3351,62501,,Euskararen etxea,190000,240494,230200.8
0171,3351,62800,,Argitalpenak eta liburuak erostea,1000,1000,62.85
0180,3293,41902,,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,30000,30000,24000
0180,3293,41902,R,EHUrekiko hitzarmena: nazioarteko zuzenbide ikastaroak,0,6000,4115.19
0180,9271,12000,,Funtzionarioen oinarrizko ordainsariak,165129.19,165129.19,162538.74
0180,9271,12100,,Funtzionarioen ordainsari osagarriak,207562,207562,211365.93
0180,9271,14100,,Bestelako langileak,27019,27019,15082.89
0180,9271,16000,,"Gizarte Segurantza, enpresaren kontura",125958,125958,110006.15
0180,9271,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8007,8007,7596.6
0180,9271,22603,,Argitalpenak eta publizitatea,600000,600000,689982.41
0180,9271,22612,,Eguneko prentsa erostea,25000,25000,29513.17
0180,9271,22616,,Prentsa-zerbitzuak,30000,30000,32796.7
0180,9271,22628,,Ikus-entzunezko komunikazioa,20000,20000,16889.63
0180,9271,22631,,Erakundeetako parte-hartzea,28000,28000,28396.91
0180,9271,22632,,Harpidetzak,500,500,540
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,100400,100400,138766.34
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0,1770.23,1770.23
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,210000,210000,0
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,7000,7000,2147.96
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000,30000,5044.44
0180,9271,22732,R,Zerbitzuak emateko kontratuak,0,7848.08,4054.72
0180,9271,22799,,Itzulpen-zerbitzuak,30000,30000,24762.93
0180,9271,22799,R,Itzulpen-zerbitzuak,0,460.59,460.59
0180,9271,62505,,Bestelako tresnak,6000,12000,11995.96
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,68173.27,68173.27,45244.24
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,89273,89273,57630.68
0181,2327,14100,,Bestelako langileak,41972,41972,81315.13
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",58710,58710,62819.29
0181,2327,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2133,2133,96.95
0181,2361,22604,,Zurrumurruen kontrako estrategia,42500,42500,57741
0181,2361,22608,,Informazio- eta prestakuntza-programa,30000,30000,14543.35
0181,2361,22610,,Hiri Hezitzailea,18000,18000,22853.07
0181,2361,22610,R,Hiri Hezitzailea,0,6930,6930
0181,2361,22613,,Itzulpena eta interpretazioa,44600,44600,43623.15
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,120000,165000,72227.08
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000,5000,4000
0181,2361,41910,R,Zurrumurruen kontrako euskal sarea,0,1000,1000
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000,22000,17600
0181,2361,48128,R,Hitzarmena: Arabako gorrak,0,4400,4400
0181,2361,48901,,Dirulaguntza deialdi orokorra,60000,60000,48000
0181,2361,48901,R,Dirulaguntza deialdi orokorra,0,11999.99,11534.9
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,30000,30000,24000
0181,2361,48970,R,Hitzarmena: Eginaren Eginez elkartea,0,6000,6000
0181,2361,48983,,Hitzarmena: Goian,114000,114000,91200
0181,2361,48983,R,Hitzarmena: Goian,0,22800,22800
0181,2361,48986,,Martxoaren 3aren memorialaren fundazioa,25000,25000,0
0209,1701,12000,,Funtzionarioen oinarrizko ordainsariak,33134.97,33134.97,0
0209,1701,12100,,Funtzionarioen ordainsari osagarriak,60888,60888,0
0209,1701,16000,,"Gizarte Segurantza, enpresaren kontura",15267,15267,0
0209,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1662,1662,0
0210,1502,11000,,Kabineteko behin-behineko langileen ordainsariak,61178.97,61178.97,224.08
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,27842,27842,62466.11
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,46711,46711,109252.79
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",20647,20647,27592.4
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1306,1306,3205.71
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000,2000,0
0210,1502,22111,,Tresnak,1000,1000,5.6
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",18000,6293.25,12756.5
0210,1502,22707,,Laguntza teknikoak,4000,4000,0
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000,1000,180
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,332832.27,332832.27,352709.52
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,442991,442991,438164.53
0211,1511,14100,,Bestelako langileak,105586,105586,139899.04
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",262571,262571,270566.35
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",18181,18181,17466.06
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,150000,456367.69,416996.98
0211,1511,60001,R,Lurzoru desjabetzeak eta erosketak,0,18034.84,18034.84
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,100000,0,0
0211,1511,61405,,Hiriko katalogoaren berrikuspena,37500,0,0
0211,1511,64202,,Eguneratze kartografikoak,5000,5000,18004.8
0211,1511,64202,R,Eguneratze kartografikoak,0,17908,17908
0211,1511,64203,,Ordainsariak,10000,8635.12,108.9
0211,1511,64206,,HAPO berrikustea,96000,96000,0
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,137500,137500,84999.99
0211,1511,64208,R,Hirigune historikoko plan bereziaren berrikuspena,0,5000,5000
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,81000,66000,2643.85
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,21000,11000,708.27
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,184123.98,184123.98,595462.64
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,239242,239242,758210.22
0213,1512,14100,,Bestelako langileak,96695,96695,301295.24
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",146584,146584,461889.16
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10298,10298,25089.5
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,20000,20000,4689.79
0213,1512,22620,R,Lan subsidiarioak eta eskoratzeak,0,50000,0
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,40000,40000,2884.52
0213,1512,22747,A,EIT-Esku-hartzea Hirigune Historikoan,0,2586.37,0
0213,1512,22747,R,EIT-Esku-hartzea Hirigune Historikoan,0,39985.7,0
0213,1512,78901,,Zuntz optikoa alde zaharrera iristea,150000,150000,0
0214,1502,62630,,Software-lizentziak,1000,1000,0
0214,1502,62901,,Tresneria erostea,1000,1000,127.91
0214,1502,64201,,Azterlanak eta proiektuak,10000,10000,9999.68
0214,1515,62213,,PIIE- Eguneko arreta zentroa Zaramagan,1900172.88,1565000,0
0214,3421,62257,,Beti Jai frontoiak,0,207445.77,207455.77
0214,9210,60205,,EU Maturana-Berastegi jauregia birgaitzea,500000,500000,129029.1
0214,9210,60205,R,EU Maturana-Berastegi jauregia birgaitzea,0,1104015.02,0
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,224995.33,224995.33,193436.32
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,281103,281103,238330.25
0214,9211,14100,,Beste langileak,0,0,27912.52
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",146553,146553,132056.53
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8206,8206,6687.65
0214,9211,60507,,Aramangelu - abetxuko,1,1,0
0214,9211,60507,A,Aramangelu - abetxuko,0,74881.41,0
0214,9211,62215,,Udal ondareko inbertsioak,100000,100000,87322.91
0214,9211,62215,A,Udal ondareko inbertsioak,0,221633.23,63815.46
0214,9211,62226,,Udal etxebizitzak birgaitzea,100000,100000,79853.08
0214,9211,62226,R,Udal etxebizitzak birgaitzea,0,210842.5,105421.26
0214,9211,62278,A,Animaliak Babesteko Zentroa,0,3293.78,0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,200000,182000,0
0214,9211,64326,A,Hirigunea biziberritzeko plana,0,119031.98,119031.98
0214,9211,64326,R,Hirigunea biziberritzeko plana,0,93445.54,4602.97
0214,9211,64516,A, gasteiz antzokia,0,16878.94,0
0214,9211,72229,,21 Zabalgunearen eta Udalaren etxebizitza-parkea birgaitzea,0,850000,0
0214,9212,62290,,Principal antzokia eraberritzea,5850000,5850000,0
0214,9212,62290,A,Principal antzokia eraberritzea,0,303401.45,11796.83
0214,9212,62290,R,Principal antzokia eraberritzea,0,66232.53,0
0215,9211,72229,,Etxebizitzen udal parkea birgaitzea. E21-Udala,850000,0,0
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,245132.69,245132.69,226805.54
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,316730,316730,317250.48
0216,1502,14100,,Bestelako langileak,35930,35930,53299.98
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",166627,166627,160796.96
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6913,6913,7537.05
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,179510.42,179510.42,159539.02
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,243831,243831,210198.48
022201,1691,14100,,Bestelako langileak,171374,171374,163323.2
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",158393,158393,166022.55
