#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
11201,Landa-lurreko ondasun higiezinen gaineko zerga,295000,294022.17
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,45000000,45346906.68
11203,Ezaugarri bereziko higiezinak,475000,466779.05
11301,Trakzio mekanikoko ibilgailuen gaineko zerga,15825000,15337859.79
11401,Hiri-lurren balio-gehikuntzaren gaineko zerga,15150000,8951385.85
13001,Ekonomi jardueren gaineko zerga,14725000,14488208.56
13002,Probintziako eta Estatuko kuotetako partaidetza,1500000,0
28201,"Eraikuntza, Instalazio eta Obren gaineko Zerga",12000000,14754783.52
30001,Erabilgarri ez diren ondasunak saltzea,10000,21181.35
30002,Argitalpen eta inprimakien salmenta,5000,0
30004,Montehermosoko ondasun eta elementuen salmenta,5000,576.45
30006,Energia elektrikoko salmenta,25000,5825.84
30007,Turismo Bulegoko ondasunen salmenta,40000,13019.75
31001,Zaborrak bildu eta suntsitzea,11125000,11220874.94
31003,Hileta-zerbitzuak.,625000,554600.97
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000,96296.07
31005,Ibilgailuak bide publikotik kentzea,550000,268661.63
31008,Prebentzio eta Su Itzaltze Zerbitzua,10000,1807.67
31013,Gardelegiko zabortegian hondakinak hustea,4500000,2580737.66
31020,Hirigintza-kontsultei erantzutea,8080,7300.64
31021,Etxeetakoez kanpoko ur zikinak isurtzea,200000,119751.52
31022,Herritarren Udal Txartelaren kopia,13000,8897.8
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,60000,42510.98
31027,Azterketa-tasak,65000,-3619.41
31028,Biokonpost-lantegia,2500000,1475815.64
31029,Ontzi eta hondakinen gaikako bilketa,1885000,1363342.86
31101,Establezimenduak irekitzeko lizentziak,330000,222753.96
31105,TAO,0,258.75
31201,Hirigintza-lizentziak ematea,620000,617380.65
32001,TAO,1900000,1382223.52
32005,Salbatzailearen hilerriko lurzoru-lagapenak,180000,158177.31
32102,Bide publikoetako kioskoak,3000,2056.68
