#Ekonomikoa,Diru-sarreren aplikazioaren izena,BEHIN-BETIKO K.,DRN GARBIAK
11201,Landa-lurreko ondasun higiezinen gaineko zerga,306000.0,304655.66
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,47100000.0,47917368.58
11203,Ezaugarri bereziko higiezinak,515000.0,485792.65
11301,Trakzio mekanikoko ibilgailuen gaineko zerga,16225000.0,15635288.38
11401,Hiri-lurren balio-gehikuntzaren gaineko zerga,15150000.0,14080947.26
13001,Ekonomi jardueren gaineko zerga,15850000.0,16015019.35
13002,Probintziako eta Estatuko kuotetako partaidetza,1400000.0,1300000.0
28201,"Eraikuntza, Instalazio eta Obren gaineko Zerga",13600000.0,11318030.95
28301,Ehiza lurraldearen erabilera  ,2500.0,2200.0
30001,Erabilgarri ez diren ondasunak saltzea,10000.0,3971.2
30002,Argitalpen eta inprimakien salmenta,5000.0,1189.03
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,0.0
30006,Energia elektrikoko salmenta,20000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,40000.0,115922.03
31001,Zaborrak bildu eta suntsitzea,21000000.0,19429666.5
31003,Hileta-zerbitzuak,650000.0,634695.2
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",200000.0,93544.18
31005,Ibilgailuak bide publikotik kentzea,560000.0,350432.23
31008,Prebentzio eta Su Itzaltze Zerbitzua,10000.0,2281.57
31013,Gardelegiko zabortegian hondakinak hustea,4400000.0,4348766.99
31020,Hirigintza-kontsultei erantzutea,8500.0,6226.79
31021,Etxeetakoez kanpoko ur zikinak isurtzea,100000.0,159930.93
31022,Herritarren Udal Txartelaren kopia,13500.0,14588.07
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,62500.0,53895.53
31027,Azterketa-tasak,67600.0,191904.78
31028,Biokonpost-lantegia,3200000.0,3000594.19
31029,Ontzi eta hondakinen gaikako bilketa,2000000.0,3149937.2
31101,Establezimenduak irekitzeko lizentziak,345000.0,347760.16
31105,TAO,0.0,654.35
31201,Hirigintza-lizentziak ematea,645000.0,446233.06
32001,TAO,2400000.0,3135790.93
32005,Salbatzailearen hilerriko lurzoru-lagapenak,190000.0,112407.39
32102,Bide publikoetako kioskoak,3120.0,2851.8
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",730000.0,1435643.76
32104,Bide publikoetako mahaitxoak,520000.0,534740.41
32105,Bide publikoetako instalazioak,600000.0,587994.45
32107,"Zangak irekitzea, hesiak...",52000.0,25215.45
32109,"Lurra, lurgaina eta lurpea okupatzea",250000.0,95173.98
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,5600000.0,3970140.26
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",225000.0,227331.57
32112,Gizarte-etxeetako aretoak erabiltzea,62500.0,44538.48
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10250.0,12394.51
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,2500.0,2884.97
32115,Energia garraioa,150000.0,0.0
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1700000.0,1685460.31
34001,Osasun publikoko tailerrak,16000.0,19971.84
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",200000.0,71915.56
34004,Etxez etxeko laguntza (3. adina),4766049.72,4766125.6
34005,Egoitzetako egonaldiak (3. adina),3325000.0,3415898.18
34006,Gizartegintzako tailerrak,72800.0,90126.53
34007,Lanaren bidezko prestakuntza,25000.0,25490.32
34008,Mendizorrotzeko instalazioetarako abonamendua,6400000.0,6467062.66
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),145600.0,148646.25
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1400000.0,1110733.59
34012,Udal Folklore Akademiako matrikulak,85000.0,87530.39
34013,Kultura-ikastaroak eta tailerrak,395000.0,441785.51
34014,Antzokiko leihatilak,450000.0,59226.77
34015,Ludoteketako zerbitzuak,50000.0,52112.91
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",7250.0,7577.59
34018,Lehendakaritzako tailerrak,234000.0,257246.81
34020,Kirol kanpainetako abonatuak,1150000.0,1543906.1
34023,"Egonaldia, CAMAS",50000.0,3661.0
34024,Tutoretzapeko etxebizitzetan egotea,4000.0,52407.04
34025,Adinekoentzako zentro soziokulturaletako bazkariak,2730.0,4950.65
34026,Egoitzetako egonaldien likidazioa (3. adina),125000.0,159897.23
34029,Prestakuntza-ikastaro eta -jarduerak,5000.0,0.0
34032,Lehendakaritzako sarrera salmenta,5000.0,5290.5
34038,Ezkontza-zerbitzua,20800.0,26357.87
34039,Kudeaketa gastuen konpentsazioa,780000.0,2.89
34040,Autobus-geltoki berriko diru-sarrerak,730000.0,996136.1
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,10500.0,10143.5
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,22000.0,42383.49
36100,Suteak itzaltzea -UNESPA eta hitzartu gabeko konpainien kuota,1205000.0,1387982.15
38001,Ordainketak itzultzea,1061478.96,1598444.12
38002,Iragarki-argitalpenen gastuak itzultzea,30000.0,144452.83
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,80001.0,75609.07
38004,Premiamendu-bideko kostuak itzultzea,8000.0,350.34
