#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2025ko Hasierako kreditua,2025ko Behin-betiko kreditua,Obligado
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1347129.29,1347129.29,1377496.8
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,147014.0,147014.0,137052.93
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,201133.0,201133.0,191056.17
0110,9121,14100,,Bestelako langileak,4740.0,4740.0,22705.11
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",533512.0,533512.0,535477.53
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7270.0,7270.0,10049.11
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,1356.2
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,1037.9
0111,1341,62705,A,EU-Hiri konektatuak,0.0,751379.75,416454.74
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,97309.0,97309.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,96547.0,96547.0,18853.63
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,107396.0,107396.0,30108.47
0111,2328,14100,,Bestelako langileak,0.0,0.0,5487.66
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",74284.0,74284.0,15519.35
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5137.0,5137.0,1146.04
0111,3341,22704,,Umbra light festival,95000.0,0.0,0.0
0111,3341,22705,,Babesa: umbra light festival,0.0,95000.0,0.0
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,125000.0
0111,3411,22705,,Babesa: umbra light festival,0.0,0.0,95000.0
0111,4332,22705,,Babesa: Vitoria-Gasteiz Trail,15000.0,15000.0,14999.99
0111,4332,22707,,Azterlanak eta lan teknikoak,100000.0,100000.0,2402.93
0111,4332,22725,,Udaletxeko beste hainbat gastu,10000.0,10000.0,543.99
