#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1331803.0,1331803.0,348427.98,,,
0110,9121,11001,,Helburuak lortu izanagatiko ordainsariak,21967.0,21967.0,0.0,,,
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,137527.0,137527.0,22820.38,,,
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,199997.0,199997.0,47488.36,,,
0110,9121,12105,,Helburuak lortu izanagatiko ordainsariak,3999.0,3999.0,0.0,,,
0110,9121,14100,,Bestelako langileak,17157.0,17157.0,16926.58,,,
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",542057.0,542057.0,154066.56,,,
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8587.0,8587.0,1879.88,,,
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,0.0,,,
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,0.0,,,
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,98713.0,98713.0,0.0,,,
0111,2328,11001,,Helburuak lortu izanagatiko ordainsariak,1112.0,1112.0,0.0,,,
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,102392.0,102392.0,883.66,,,
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,108230.0,108230.0,1714.5,,,
0111,2328,12105,,Helburuak lortu izanagatiko ordainsariak,3796.0,3796.0,0.0,,,
0111,2328,14100,,Bestelako langileak,0.0,0.0,14715.3,,,
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",79335.0,79335.0,9482.08,,,
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5336.0,5336.0,249.24,,,
0111,3341,22704,,Babesa: umbra light festival,0.0,0.0,95000.0,,,
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,0.0,,,
0111,3411,22705,,Babesa: umbra light festival,95000.0,95000.0,0.0,,,
0111,3411,22744,,Gasteizko nazioarteko BTT babestea,80000.0,80000.0,0.0,,,
0111,4332,22707,,Azterlanak eta lan teknikoak,80000.0,80000.0,0.0,,,
0111,4332,22707,R,Azterlanak eta lan teknikoak,0.0,27097.95,27097.95,,,
0111,4332,22725,,Udaletxeko beste hainbat gastu,10000.0,10000.0,0.0,,,
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,350000.0,350000.0,6719.12,,,
0111,4332,22755,,"Maturana Jauregiaren diseinua, edukiak eta garapena",200000.0,200000.0,0.0,,,
0111,4332,41401,,Hitzarmena: Hiriaren sustapena,70000.0,70000.0,0.0,,,
0111,4332,62505,,Udaletxeko beste tresna eta material batzuk,30000.0,30000.0,2915.59,,,
0111,9204,22725,,Datuaren bulegoa,90000.0,90000.0,0.0,,,
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,150572.0,150572.0,27374.09,,,
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,205893.0,205893.0,52132.41,,,
0112,2301,12105,,Helburuak lortu izanagatiko ordainsariak,3843.0,3843.0,0.0,,,
0112,2301,14100,,Bestelako langileak,212359.0,212359.0,58956.04,,,
0112,2301,14101,,Ordezko langileen ordainsariak,2343.0,2343.0,0.0,,,
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",173506.0,173506.0,48953.37,,,
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11185.0,11185.0,2736.77,,,
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,180603.0,180603.0,34313.6,,,
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,218579.0,218579.0,56584.09,,,
